#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
3071,مياه الهدا 0.63لتر,HADA WATER 0.63L,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/9/59775_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3072,مياه الهدا 1.5لتر,HADA WATER 1.5L,1.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/9/59785_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3073,مياه هنا 0.6لتر,HANA WATER 0.6L,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/62195_2.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3074,مياه هنا 24  330مل,HANA WATER 24  330ML,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/1/319076.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3075,مياه نوفا 1.54لتر,NOVA WATER 1.5L,2.05,http://www.othaimmarkets.com/skin/frontend/default/othaimshop/images/catalog/product/placeholder/image.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3076,مياه نوفا 0.6لتر,NOVA WATER 0.6L,1.05,http://www.othaimmarkets.com/skin/frontend/default/othaimshop/images/catalog/product/placeholder/image.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3077,مياه نوفا 330مل,NOVA WATER 0.33L,0.53,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1087420.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3078,مياه هالي صحية 1.5لتر,HALEY HEALTHY WATER 1.5L,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/imagesca65w4rx_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3079,مياه هالي صحية 330مل,HALEY HEALTHY WATER 330ML,0.53,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/4/449955_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3080,مياه الهدا 0.33لتر,HADA WATER 0.33L,0.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/655295_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3081,مياه نستله صحية 0.6لتر,NESTLE PURE LIFE WATER 0.6L,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/n/e/nestle-pure-life_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3082,مياه اكوافينا 600مل,AQUAFINA WATER 600ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/798775_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3083,مياه اكوافينا 330مل,AQUAFINA WATER 330ML,0.53,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/879825_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3084,مياه افيان 330مل,EVIAN WATER 330ML,5.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/g/c/gcw1272646970.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3085,مياه اكوافينا 1.5لتر,AQUAFINA WATER 1.5ML,2.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/0/1/010511130109owhgci0fo.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3086,مياه هنا 1.5 لتر,HANA WATER 1.5L,2.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/62205_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3087,مياه هنا 5لتر,HANA WATER 5L,3.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/3/436945.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3088,"مياه نستله صحية 1,5لتر",NESTLE PURE LIFE WATER 1.5L,2.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/698255.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3089,مياه نوفا 5لتر,NOVA WATER 5L,3.94,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/3/230510_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3090,"مياه صفا مكة المكرمة 0,6لتر",SAFA MAKKAH WATER 0.6L,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/7/971585.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3091,مياه فولفيك صغير 0.5لتر,VOLVIC MINERAL WATER 0.5L,5.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/9/199820_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3092,"مياه فولفيك معدنية 1,5لتر",VOLVIC NATRL MNERAL WATER 1.5L,10.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/666940_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3093,مياه فولفيك معدنية 1لتر,VOLVIC NATURAL MINERAL WATER1L,9.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/800850_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3094,مياه بيريه 750مل,PERRIER WATER BOTTLE 750ML,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/5/95125_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3095,مياه افيان 1.5لتر,EVIAN WATER 1.5L,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/2/326475_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3096,مياه افيان معدنيه 500مل,EVIAN NATRL MNERAL WATER 500ML,6.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/666955_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3097,مياه ارتوينا 620مل,ERTWAINA WATER 620ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1174715.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3098,مياه بيريه 330مل,PERRIER WATER BOTTLE 330ML,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/154625_1.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3099,ميرندا حمضيات علب 355 مل,MIRINDA CITRUS CAN 330ML,2.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/125170_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3100,فانتا حمضيات بلاستيك 2.25ل,FANTA CITRUS PLASTIC 2.25L,8.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/images-(5).jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3101,شراب القوة بايسن 250مل,BISON ENERGY DRINK CAN 250ML,4.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/54e96c9fd9.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3102,مشروب فريزز كيوي غازي 275مل,FREEZ KIWI DRINK 275ML,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/567575_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3103,بيرة بربيكان ليمون زجاج 330مل,BARBICAN LEMON BOTTLE 330ML,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/22275_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3104,بيرة باريو رمان زجاج 330مل,BARIO POMEGRANATE BOTTLE 330ML,3.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/944245_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3105,بيرة بربيكان رمان زجاج 330مل,BARBICAN POMGRANTE BOTTLE 330ML,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/5/951845_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3106,بيرة موسي فراولة زجاج 330مل,MOUSSY BOTTLE STRAWBERRY 330ML,5.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/7/278795_0.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
3107,بيرة هولستن فراولة 330مل,HOLSTEN BOTTLE STRAWBERY 330ML,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/3/535945_2.jpg,مشروبات وحلويات,مشروبات وعصائر,Beverage,Drinks & Juice
