#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
5104,مصفف شعر براون # 3543,BRAUN HAIR STRGHTLNR ES1 #3543,160.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/766525_1.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5105,مصفف شعر براون #3553,BRAUN HAIR STRGHTNR ES3 #3553,418.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925905_1.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5106,ماكينة حلاقة براون رجالي #370,BRAUN SHAVER SERIES #370,483.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925915_0.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5107,ماكنية حلاقة براون رجالي #330,BRAUN SHAVER SERIES #330,318.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925945_0.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5108,ماكينة ح براون نسائية#5380,BRAUN SILK.EPIL5 #5380,261.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1110745_0.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5109,مجفف شعر براون 1900وات #35192,BRAUN HAIR DRYR CREATION 1900W,194.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/801335.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5110,ماكينة حلاقة براون للذقن #5730,BRAUN CRUZER FACE EPILTR #5730,362.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1172985_1.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5111,مجفف شعر براون #730,BRAUN H.DRYER DIFFUSOR #HD730,257.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1173075_1.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5112,طقم مصفف شعر فيليبس #4698,PHILIPS MULTI STYLER #HP4698,169.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1152035_1.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
5113,ماكينة حريمي براون ساقين&جسم#5380,BRAUN LEGS&BODY EPILATOR #5380,336.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1173025.jpg,الإلكترونيات,أجهزة عناية شخصية,Electronics,Personal Care
