#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1867,كيك مخابز زود ميكس,ZOD BAKERY FANCY DONUTS 4'S,10.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/757945_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1868,كريم كاراميل مخابز زود,ZOD BAKERY OMALLI 1'S,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758585_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1869,ام علي مخابز زود 1 حبه,ZOD BAKERY CHOCO CAKE LARGE,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758615_0.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1870,تورتة مخابز زود شوكولاته كبير,ZOD BAKERY CHOCO CAKE MEDIUM,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/782245_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1871,تورتة مخابز زود شوكولاته وسط,ZOD CARAMEL CAKE LARGE.,37.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/782345_2.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1872,تورتة زود كاراميل كبير,ZOD BAKERY GATEAUX 2'S,68.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/782355_3.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1873,كيك مخابز زود قطع منوع 2 حبه,ZOD BAKERY TART WCRAMEL MEDIM,7.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/1/819375_0.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1874,تورتة مخابزنا كراميل وسط,ZOD BAKERY MINI DONUT 14'S,37.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/1/819385_3.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1875,دونات مخابز زود مشكل 14حبه,ZOD BAKERY BRAN BREAD 4'S,6.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/4/840325_0.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1876,خبز مخابز زود نخالة 4 حبه,ZOD BAKERY MUFFIN CHOCLATE 4'S,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948045_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1877,ارز مخابزنا باللبن,ZOD BAKERY CREAM CARMAEL,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758545_2.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1878,تورتة مخابز زود نصفين كبير,OUR BAKERY PUDDING RCIE MILK,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758395_2.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1879,دونات مخابز زود فانسي 4 حبه,ZOD BAKERY SWISS ROLL CHOC 1'S,6.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758215_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1880,سويس رول مخابز زود شوكولاتة,ZOD BAKERY CREAM CAKE SMALL,17.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758275_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1881,تورتة مخابز زود بالكريمة صغيرة,ZOD BAKERY MIX FRUT CAKE MEDUM,17.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758315_1.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1882,تورتة مخابز زود بالفواكه وسط,ZOD BAKERY BLACK FOREST MEDIUM,37.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758325_3.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1883,تورتة مخابز زود بلاك فورست وسط,ZOD BAKERY WHITE FOREST MEDIUM,37.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758335_2.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1884,تورتة مخابز زود وايت فورست وسط,ZOD BAKERY HALF&HALF CKE MEDUM,41.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758345_3.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1885,تورتة مخابز زود نصفين وسط,ZOD BAKERY MIX FRUIT CAKE LARG,37.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758355_3.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
1886,تورتةمخابز زود فواكه مشكلةكبير,ZOD BAKERY WHITE FOREST LARGE,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/758365_2.jpg,الطازج,الخبز والحلويات,Fresh & Bakery,Bakery
