#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1763,ورق عنب الخليج محشي 2 كيلو,ALKHALEEJ STUFFED GRAPE LEAVES 2K,30.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/643055_0.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1764,رنجة البحار مدخنة,ALBAHAR DOUBE SMOKED HERING,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/5884_1.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1765,زيتون كوبوليفا اسود #160 5 كيلو,COOPOLIVA B.OLIVES #160 5 KG,96.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/3651.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1766,زيتون كوبوليفا اسود شرائح 900جرام,COOPOLIVA SLICED B.OLVES 900G.,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/900325-01.png,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1767,زيتون كوبوليفا اسود #320 5كيلو,COOPOLIVA B.OLIVES #320 5KG.,67.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/3/4301-01.png,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1768,مرتديلا سنيورة رومي زيتون 500 جرام,SINIORA MORT.TURKEY OLIVE 500G,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/413775_0.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1769,جبن طعمة ميلك دبل كريم 1.5ك,TEAMA DOUBLE CREAM CHEESE 1.5KG,29.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1150445.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1770,جبن الزهار اسطنبولي بالفلفل 1ك,EL_ZAHAR ISTANBOL CHS WPPR 1K,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/911905.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1771,جبن الزهار دمياطي بالفلفل 1ك,EL_ZAHAR DOMIATY CHS WPPER 1K,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/911875.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1772,جبن طعمة ميلك دمياطي 1ك,TEAMA MILK DOMIATY CHEESE 1KG,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1150475_2.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1773,جبن ماك تشيز براميلي 1.2ك,MAC BARAMEELY CHEESE 1.2KG,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1172025.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1774,جبن دومتي دمياطي علب 2كيلو,DOMTY DIMYATI CHEESE 2KG,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/289605.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1775,لبنة اولكر تركية 2.75كيلو,ULKER LABNEH 2.75K,83.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/369485_1.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
1776,جبن هاي لاند دوبل كريم 1.5كيلو,HAY LAND DOUBLE CREM CHSE 1.5K,28.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/6/466945_1.jpg,الطازج,أجبان ولانشون وزيتون,Fresh & Bakery,Delicatessens
