#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2252,برجر امريكانا دجاج اكياس 15 حبة,AMERICANA 15 CHICKEN BURGER,21.79,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/17165_0_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2253,كفتة ارز امريكانا مصرية 900 جرام,AMERICANA EGYPTIAN R.KOFTA900G,23.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/17365_0_0_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2254,صدور دجاج الوطنية 650 جرام,ALWATANIA 8 SCHNITZEL 650G,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/6/46555_1.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2255,مفروم دجاج الوطنية رول 400 جرام,ALWATANIA CHICKEN ROLL 400G,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/172365_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2256,نقانق دجاج دو حار 400 جرام,DOUX CHICKEN FRANK HOT 400G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_3614.png,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2257,برجر ساديا دجاج 24حبة 1344 جرام,SADIA 24 CHICKEN BURGERS 1344G,33.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/562705_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2258,نقانق ساديا دجاج حارة 340 جرام,SADIA CHICKEN FRANKS HOT 340G,5.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/562775_0_0_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2259,برجر هرفي دجاج بالبقسماط 450 جرام,HERFY CHKN BURGER BREADED 450G,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/763135_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2260,برجر هرفي دجاج بالبقسماط 672 جرام,HERFY CHKN BURGER BREADED 672G,23.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/763145_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2261,برجر هرفي دجاج بالبقسماط 1120ج,HERFY CHKN BRGR BREADED 1120G,35.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/763175_0.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
2262,كبة شامي لحم بقر ميني 450 جرام,SHAMI MINI BEEF KIBBE 450G,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/540226_375435962507389_151955341522120_1237895_633468666_n.jpg,المجمدات,لحوم ودواجن,Frozen,Chicken & Meat
