#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2474,قواعد بيتزا السنبلة 420 جرام,SUNBULAH 3 PIZZA CRUST 420G,10.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/164980.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2475,عجينة الكرامةبف باستري هشة 400جرام,ALKARAMAH PUFF PASTRY 400G,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/12795_0.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2476,عجينة الكرامة بف باستري 400 جرام,ALKARAMAH 18 P.PASTRY LF 400G,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/8/181225.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2477,عجينة الكرامة بف باستري 1كيلو,ALKARAMAH 30 PUFF PASTRY 1000G,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/7/277015.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2478,عجينة السنبلة باستري بلوك 400 جرام,SUNBULAH PUFF PASTRY BLOCK400G,6.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115800.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2479,عجينة السنبلة بف باستري 800 جرام,SUNBULAH 20 PUFF P.SQUARE 800G,12.08,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115830.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2480,عجينة السنبلة باستري قليلة الدسم 400 جرام,SUNBULAH 15 P.PASTRY LF 400G,4.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1122810_3.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2481,عجينة جلاش السنبلة 500 جرام,SUNBULAH FILO PASTRY LEAV.500G,8.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1122810_4.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2482,عجينة السنبلة باستري بر 400 جرام,SUNBULAH PUFF PASTRY BUR 400G,4.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/787100.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2483,عجينة السنبلة عجينتي 400 جرام,SUNBULAH AGINATI PASTRY 400G,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1122810_0.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2484,قاعدة بيتزا الكرامة 1 كيلو,ALKARAMAH PIZZA CRUST 1000G,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/144850.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2485,عجينة السنبلة بف باستري 400 جرام,SUNBULAH 10 PUFF P.SQUARE 400G,4.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115775.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
2486,عجينة السنبلة فولفون 16ح 510ج,SUNBULAH 16 VOL_AU_VENTS 510G,12.34,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115815_0.jpg,المجمدات,معجنات للتحضير,Frozen,Pastries
