#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
587,شوكولاته نوتي برطمان 200جرام,NUTELLA CHOCOLATE T200 200G,11.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/154925.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
588,شوكولاته هالي بندق وكاكاو 400جرام,HALEY HAZELNUT COCOA SPRD 400G,6.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125095_1.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
589,شوكولاته نوتيلا برطمان 750 جرام,NUTELLA CHOCOLATE JAR 750G,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/509820_0.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
590,شوكولاته نوتي بندق وكاكاو 15جرام,NUTELLA FERRERO HAZLNT T75 15G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/2/721280_0.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
591,عسل لانجنيز ضغاط 500 جرام,LANGNESE BEE EASY HONEY 500G,35.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/800840_0.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
592,عسل الشفاء اكاسيا 500ج,ALSHIFA ACASIA HONEY 500G,57.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/9035_0.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
593,عسل لانجنيز اكاسيا 250جرام,LANGNESE ACASIA HONEY 250G,38.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/666995.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
594,عسل لانجنيز غابة سوداء 500جرام,LANGNESE B.FOREST HONEY 500G,94.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/666985.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
595,حلاوة حلواني شوكولاته 1كيلو,HALWANI HALAWA CHOCOLATE 1K,34.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/634785.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
596,عسل نحل ابيا طبيعي 1500جرام,EBIA NATURAL BEE HONEY 1500G,44.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/548615.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
597,مربى حدائق شتورة اناناس 450جرام,CHTOURA G.JAM PINEAPPLE 450G.,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/9/291785.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
598,عسل الشفاء غابة سوداء 500 جرام,ALSHIFA B.FOREST HONEY 500G,87.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/9065.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
599,مربي الرشيدي ميزان فراولة 340جرام,ELRASHIDI ELMIZAN STRBERY 340G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/1206785.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
600,حلاوة طعمة سادة 1 كيلو,TEMA HALAWA PLAIN 1KG,25.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/119425_1.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
601,عسل الشفاء غابة سوداء 250جرام,ALSHIFA FOREST HONEY 250G,49.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/9055.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
602,عسل الشفاء طبيعي 1 كيلو,ALSHIFA NATURAL HONEY 1KG,42.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/9135.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
603,عسل الشفاء طبيعي 750جرام,ALSHIFA NATURAL HONEY 750G,33.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/9175.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
604,حلاوة التاج سادة 1 كيلو,ALTAJ HALAWA PLAIN 1K,26.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/15670_0.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
605,حلاوة حلواني سادة 1 كيلو,HALWANI HALAWA PLAIN 1KG,28.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/61295_0.jpg,غذائية,أغذية إفطار,Grocery,Breakfast Food
