#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
288,كورن فليكس نستله فيتنس 375 جرام,NESTLE FITNESS CEREAL LF 375G,18.38,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/n/e/nestle-fitnessethe-low-fat-whole-wheat-cereal_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
289,حليب ابو قوس لايت سائل 158 مل,RAINBOW LIGHT MILK 158ML,2.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/17_1_7.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
290,حليب المراعي سائل قليل دسم 170جرام,ALMARAI EVAP MILK LOW FAT 170G,2.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/a/l/almarai_lowfatevaporatedmilk170g.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
291,حليب ريجيليه فيتاميلك منزوع الدسم 700جرام,REGILAIT VITAMILK SKIMMED 700G,56.18,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/801915-1.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
292,حليب ابوقوس بلا كوليسترول 160 مل,RAINBOW MILK CHOLSET FRE.160ML,2.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/p/r/prophoto2183.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
293,حليب ريجيليه بودرة 0%دسم300جرام,REGILAIT POWDR MLIK 0%FAT 300G,24.68,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/m/a/ma003311.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
294,حليب ريجيليه 700جرام,REGILAIT SKIMMED MILK 700G,57.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/5/254565.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
295,سكر سويتن لو منخفض السعرات 200جرام,SWEET'N LOW SUGAR 200tablets,14.18,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/552740_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
296,سكر سويت اند لو دايت زجاج 80جرام,SWEET'N LOW SUGR SUBSTTUTE 80G,24.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/117400_1.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
297,محلي تروبيكانا سلم اقراص 15جرام,TROPICANA SLM ZERO TABLETS 15G,29.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1138340_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
298,محلي تروبيكانا سلم اقراص 5جرام,TROPICANA SLM ZERO TABLETS 5G,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1138330_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
299,سكر تروبيكانا منخفض السعرات 250جرام,TROPICANA LW CALOR SWETNR 250G,24.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1071740_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
300,"سكر ذرة تروبيكانا سلم 62,5جرام",TROPICANA SLM LOW CALORI 62.5G,8.14,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/749070_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
301,محلي تروبيكانا سلم سكر 125 جرام,TROPICANA CALORIE SWEET 125G,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/6/460880_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
302,سكر كاندريل منخفض السعرات 9جرام,CANDEREL LOWCALORIE SWEET 9G,11.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/3/530370_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
303,شراب فرشلي شوكولاته لايت 510جرام,CANDEREL SUGAR POWDER 40G,15.23,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/9/898560_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
304,شراب فرشلي فراولة لايت 510 جرام,FRESHLY CHOCO SYRUP LITE 510G,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/9/898580_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
305,كورن فلكس نستلة حبوب بالفواكه375 جرام,FRESHLY STBERY SYRUP LITE 510G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/6/2668046176_bd77ce6534_b__62514_zoom.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
306,مربي سان دالفورتوت احمر 284جرام,ST.DALFOUR JAM RED RASPBERY 284G,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/931680_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
307,مربى حلواني فراولة قطع 400 جرام,HALWANI SUGAR FREE STRBRY JAM 400G,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/6/462300_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
308,مربي العلالي فواكة مشكلة قليل سكر 385ج,ALALALI JAM LIGHT MIXFRUT 385G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/836540_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
309,مربي العلالي مشمش قليل السكر 385جرام,ALALALI JAM LIGHT APRICOT 385G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/836530_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
310,مربي سان دالفور كرز اسود 284جرام,ST.DALFOUR JAM BLACK CHERRY 284G,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/931720_0.jpg,غذائية,منتجات الحمية,Grocery,Dietary Products
