#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
718,شاي ليبتون اخضر ليمون خيط 100حبه,LIPTON GREEN TEA LEMON 100'S,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/3/53655_2.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
719,شاي تويننجز ايرل جراي معطر200جرام,TWININGS EARL GREY TEA 200G,34.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/t/w/twinijo_1.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
720,شاي الربيع خيط اكسبريس 25حبه,RABEA TEA EXPRESS 25'S,5.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/2/323870_0.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
721,شاي جست اميوت خيط 28حبة,JUST A MINUTE TEABAG 28G BLACK,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/t/e/teabags20.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
722,شاي الكبوس فلة 450جرام,ALKBOUS TEA LOOSE 450G,15.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/129-197-thickbox.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
723,شاي الكبوس فلة 225جرام,ALKBOUS TEA LOOSE 225G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/129-197-thickbox_0.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
724,شاي بنتليز فلة وسط 450جرام,BENTEYS TEA LOOSE 450G,11.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/7/2763215_0.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
725,شاي ليبتون فلة 800جرام,LIPTON TEA LOOSE 800G,29.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/l/i/lipton_tea_bags_2.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
726,شاي ليبتون فلة 400جرام,LIPTON TEA LOOSE 400G,18.38,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/905585_0.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
727,شاي ربيع علب 300جرام,RABEA TEA CAN 300G,24.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/99445_0.jpg,غذائية,مشروبات ساخنة,Grocery,Hot Drinks
