#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
162,حليب سفوري قد طويل الأجل 200مل,SAFFORI UHT MLIK LONG LIFE 200ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/648655.jpg,غذائية,حليب,Grocery,Milk
163,حليب الربيع 1لتر,ALRABIE WHOLE MILK 1L,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/14675_1.jpg,غذائية,حليب,Grocery,Milk
164,حليب صافيو موز 200مل,SAFIO UHT BANANA MILK 200ML,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/14985.jpg,غذائية,حليب,Grocery,Milk
165,حليب صافيو شوكولاته 200مل,SAFIO UHT CHOCOLATE MILK 200ML,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/14995_0.jpg,غذائية,حليب,Grocery,Milk
166,حليب الصافي قليل الدسم 1لتر,ALSAFI UHT MILK LOWFAT 1L,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/p/r/prophoto2189.jpg,غذائية,حليب,Grocery,Milk
167,حليب صافيو فراولة 200مل,SAFIO UHT STRAWBERY MILK 200ML,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247880_1.jpg,غذائية,حليب,Grocery,Milk
168,حليب رشاقة 1لتر,RASHAKA LONGLIFE MILK SK 1L,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/1303580921_1.jpg,غذائية,حليب,Grocery,Milk
169,حليب نادك قليل الدسم بغطاء 1لتر,NADEC MILK LF RECUP 1L,4.47,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/41080_1.jpg,غذائية,حليب,Grocery,Milk
170,حليب السعودية قليل الدسم 1لتر,SAUDIA MILK LF 1L,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/s/a/saudialowfat8.jpg,غذائية,حليب,Grocery,Milk
171,حليب السعودية كامل الدسم 1لتر,SAUDIA MILK WHOLE LL 1L,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/108250_0.jpg,غذائية,حليب,Grocery,Milk
172,حليب السعودية كامل الدسم 200مل,SAUDIA WHOLE MILK LONGLIFE 200ML,1.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc01846_jpg_s_1.jpg,غذائية,حليب,Grocery,Milk
173,حليب المراعي شوكولاته 200مل,ALMARAI MILK CHOCLATE 200ML,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/131109.jpg,غذائية,حليب,Grocery,Milk
174,حليب المراعي قليل الدسم 1لتر,ALMARAI LONGLIFE MILK LF 1L,4.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13585_0_1.jpg,غذائية,حليب,Grocery,Milk
175,حليب السعودية موز 200مل,SAUDIA BANANA MILK DRINK 200ML,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/152745.jpg,غذائية,حليب,Grocery,Milk
176,حليب ندى 1لتر,NADA LONGLIFE MILK 1L,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247790.jpg,غذائية,حليب,Grocery,Milk
177,حليب ندى قليل الدسم 1لتر,NADA LONGLIFE MILK LOWFAT 1L,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/120735_1.jpg,غذائية,حليب,Grocery,Milk
178,حليب ندى سادة 200مل,NADA LONGLIFE MILK 200ML,1.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247870.jpg,غذائية,حليب,Grocery,Milk
179,حليب ندى فراولة 200مل,NADA LONGLIFE STBERRY MILK 200ML,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247880_0.jpg,غذائية,حليب,Grocery,Milk
180,حليب ندى شوكولاته 200مل,NADA LONGLIFE CHCLATE MILK 200ML,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247890_1.jpg,غذائية,حليب,Grocery,Milk
181,حليب رشاقة 200مل,RASHAKA LONGLIFE MILK SK 200ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/1303580921_2.jpg,غذائية,حليب,Grocery,Milk
182,حليب نادك فراولة طويل الاجل 200مل,NADEC MILK STRAWBERRY 200ML,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/359045_0.jpg,غذائية,حليب,Grocery,Milk
183,حليب ندى سادة قليل الدسم 200مل,NADA LONGLIFE MILK LOWFAT 200ML,1.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/381495_0.jpg,غذائية,حليب,Grocery,Milk
184,حليب المراعي قليل الدسم 500مل,ALMARAI LONGLIFE MILK LOWFAT 200ML,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13605.jpg,غذائية,حليب,Grocery,Milk
185,حليب الربيع شوكولاته 200مل,ALRABIE CHOCOLATE MILK 200ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/8/489445_0.jpg,غذائية,حليب,Grocery,Milk
186,حليب الربيع فراولة 200مل,ALRABIE STRAWBERRY MILK 200ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/8/489455_0.jpg,غذائية,حليب,Grocery,Milk
187,حليب جالكسي شوكولاته 200مل,GALAXY MILK DRINK CHOCO 200ML,2.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/c/7c3b82.jpg,غذائية,حليب,Grocery,Milk
188,حليب جالكسي كاراميل 200مل,GALAXY MILK CARAMEL 200ML,2.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/5487845_0.jpg,غذائية,حليب,Grocery,Milk
189,حليب ندى فراولة 125مل,NADA STRAWBERRY MILK LONGLIFE 125ML,0.79,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247880_2.jpg,غذائية,حليب,Grocery,Milk
190,حليب ندى شوكولاته 125مل,NADA CHOCOLATE MILK LONGLIFE 125ML,0.79,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247890_2.jpg,غذائية,حليب,Grocery,Milk
191,حليب ندى سادة 125مل,NADA MILK LONGLIFE 125ML,0.79,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/605545_0.jpg,غذائية,حليب,Grocery,Milk
192,حليب ابو قوس شوكولاته 185مل,RAINBOW UHT MLK CHOCLATE 185ML,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/659815.jpg,غذائية,حليب,Grocery,Milk
193,حليب كي دي دي شوكولاته 180مل,KDD CHOCOLATE MILK LONGLIFE 180ML,1.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/663275.jpg,غذائية,حليب,Grocery,Milk
194,حليب كي دي دي فراولة 180مل,KDD STRAWBERRY MILK LONGLIFE 180ML,1.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/663295_2.jpg,غذائية,حليب,Grocery,Milk
195,حليب الربيع بنكهة فراولة 120مل,ALRABIE STRAWBERY FULL FAT MILK 120ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/7/971045_0.jpg,غذائية,حليب,Grocery,Milk
196,حليب الربيع بالشوكولاته 120 مل,ALRABIE CHOCOLATE MILK 120ML,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/7/971055_0.jpg,غذائية,حليب,Grocery,Milk
197,حليب السعودية بطعم الذهبي 1لتر,SAUDIA GOLDEN TASTE WHL MLK 1L,6.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1109635_0.jpg,غذائية,حليب,Grocery,Milk
198,حليب انكور بودرة 1800جرام,ANCHOR POWDER MILK 1800G,58.28,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/17925_0.jpg,غذائية,حليب,Grocery,Milk
199,حليب انكور بودرة 2500جرام,ANCHOR POWDER MILK 2500G,74.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/17935_1.jpg,غذائية,حليب,Grocery,Milk
200,حليب بوني شفرات شبك 10حبة,BONNY MILK PORTION PACK 10'S,4.47,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/5/25325.jpg,غذائية,حليب,Grocery,Milk
201,حليب بوني سائل 385مل,BONNY EVAP MILK 385ML,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/5/25385_1.jpg,غذائية,حليب,Grocery,Milk
202,حليب وادي فاطمه 159مل,WADI FATMA MILK WITH KEY 159ML,2.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/125875_0.jpg,غذائية,حليب,Grocery,Milk
203,حليب انلين بودرة قليل الدسم 900جرام,ANLENE POWDER MILK LOWFAT 900G,53.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/2879205.jpg,غذائية,حليب,Grocery,Milk
204,حليب انلين بودرة 400جرام,ANLENE POWDER MILK LOWFAT 400G,28.62,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/2879205_0.jpg,غذائية,حليب,Grocery,Milk
205,حليب ريجيليه قليل الدسم بودرة 1600جرام,REGILAIT LOW FAT 1600G,93.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3043931692415.jpg,غذائية,حليب,Grocery,Milk
206,حليب المراعي مركز سائل 170جرام,ALMARAI EVAPORATED MILK 170G,2.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/1301941783.jpg,غذائية,حليب,Grocery,Milk
207,حليب بوني سائل 170جرام,BONNY EVAP MILK 170G,2.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc01873.jpg_s.jpg,غذائية,حليب,Grocery,Milk
