#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1407,مكرونة العلالي 450جرام,ALALALI MACARONI NO.1 450G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10105_1.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1408,مكرونة قودي #36 500 جرام,GOODY MACARONI NO.36 500G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/57465_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1409,مكرونة الوفرة # 14 400 جرام,WAFRA MACARONI #14 400G,2.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/217765_1.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1410,مكرونة بيرفيتو سباغتي 450جرام,PERFETTO SPAGHETTI 450G,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/d/s/dsc02871.jpg_s_2.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1411,مكرونة هالي ريسوني 400جرام #107,HALEY RISONE 400G #107,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948365_1.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1412,مكرونة هالي تاقليتالي 400جرام,HALEY MACARONI TAGLIATELL 400G,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1106685_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1413,شعيرية زدني دجاج بالبصل 70ج,ZIDNEE I.NDLS ONION CHICKN 70G,0.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157185.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1414,مكرونة العلالي #72 450ج,ALALALI MACARONI NO.72 450G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10165.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1415,مكرونة العلالي #82 450 جرام,ALALALI MACARONI NO.82 450G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10275_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1416,مكرونة بيرفيتو #214 500 جرام,PERFTTO PASTA SHAPE #214 500G,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3052695_1_2.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1417,مكرونة هالي البو 400جرام #105,HALEY ELBOW 400G #105,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948345_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1418,مكرونة هالي سيداني 400جرام #110,HALEY SEDANINI 400G #110,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948395_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1419,مكرونة بيتوني سباغتي 4×500 جرام,BUITONI SPAGHETI #72 4x500GGF,19.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/e/1/e151436h_l_4.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1420,مكرونة الوفرة سباغتي 400جرام,WAFRA SPAGHETTI #4243 400G,2.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/9205_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1421,مكرونة قودي سباغتي 450جرام,GOODY SPAGHETTI 20 450G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/57565_0_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1422,مكرونة الوفرة #27 400 جرام,WAFRA MACARONI #27 400G,2.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/217775_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1423,مكرونة بريك سباغتي 400 جرام,BERRAK SPAGHETTI SEMOLINA 400G,1.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/916725_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1424,مكرونة بيرفيتو #218 500 جرام,PERFTTO PASTA SHAPE #218 500G,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3052695_1_3.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1425,مكرونة هالي بيني 400 جرام #103,HALEY PENNE 400G #103,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948325_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1426,مكرونة هالي روتيلي 400جرام #112,HALEY ROTELLE 400G #112,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948415_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1427,مكرونة رونزوني 454 جرام,RONZONI LASAGNE 454G,11.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/images_20.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1428,شعيرية زدني خضار 70ج,ZIDNEE I.NOODLES VEGETABLE 70G,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157155.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1429,مكرونة هالي سباغيتي400جرام ,HALEY SPAGHETTI 400G #109,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/948385_1.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1430,شعرية زدني كاري دجاج 70ج,ZIDNEE I.NDLS CHICKN CURRY 70G,1.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157175.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1431,مكرونة قودي #16 500 جرام,GOODY MACARONI NO.16 500G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/55575_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1432,مكرونة قودي 500جرام,GOODY MACARONI NO.31 500G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/57455_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1433,مكرونة قودي #12 500 جرام,GOODY MACARONI NO.12 500G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/57425_1.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1434,مكرونة العلالي 450 جرام,ALALALI MACARONI NO.2 450G.,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/8/183445_0.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1435,مكرونة الوفرة 400 جرام,WAFRA MACARONI #30 400G,2.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/217695.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1436,مكرونة بيرفيتو #219 500 جرام,PERFTTO PASTA SHAPE #219 500G,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3052695_1_5.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1437,مكرونة بيرفيتو #236 500 جرام,PERFTTO PASTA SHAPE #236 500G,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3052695_1_4.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1438,مكرونة بيتوني لازانيا 500 جرام,BUITONI LE LASAGNE 500G,12.08,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/963405_1.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1439,شعيرية اندومي دجاج خاصة 60×75ج,INDOMIE SPECIAL CHICKEN 60x75G,64.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/555230.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
1440,شعيرية العلالي مقطع #55 450جرام,ALALALI VERMICELLI NO.55 450G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/130885.jpg,غذائية,معكرونة وشوربة,Grocery,"Pasta, Noodles &Soup"
