#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1067,جبن المراعي كاسات طعم قشطة140جرام,ALMARAI CREM CHEESE GLASS 140G,5.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13035_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1068,جبن بوك بيضاء كاسات 910جرام,PUCK CREAM CHEESE 910G,25.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/214825_2.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1069,جبن المراعي كاسات طعم القشطة ٥٠٠جم,ALMARAI CREM CHEESE GLASS 500G,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/226465_2.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1070,جبن كرافت بيضاء كاسات 500جرام,KRAFT WHITE CHEESE SPREAD 500G,16.28,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/285215_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1071,جبن كرافت بيضاء كاسات 910جرام,KRAFT WHITE CHEESE SPREAD 910G,26.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/285225_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1072,جبن المراعي كاسات طعم القشطة 900جرام,ALMARAI CREM CHEESE GLASS 900G,25.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/4/343675_1.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1073,جبن نادك كاسات 500جرام,NADEC CREAM CHEESE GLASS 500G,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/697305_1.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1074,جبن نادك كاسات 240جرام,NADEC CREAM CHEESE GLASS 240G,8.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/697315_1.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1075,جبن المراعي بالزيت النباتي240جرام,ALMARAI CREM CHSE VEG OIL 240G,8.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/2/722205_2.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1076,جبن بوك بيضاء كاسات 1100جرام,PUCK CREAM CHEESE GLASS 1100G,30.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/3/737905_2.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1077,جبن انكور كريم كاسات 500جرام,ANCHOR CREAM CHEESE 500G,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/748555_1.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1078,جبن المراعي قليل كالسترول 500جرام,ALMARAI CREM CHES LOW CHLST.500G,15.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/2/722205_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1079,جبن نادك كريم كاسات 910جرام,NADEC CREAM CHEESE SPREAD 910G,24.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/914055.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1080,جبن المراعي كاسات طعم قشطة240جرام,ALMARAI CRM CHEESE GLASS 240G,8.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13045_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1081,جبن كرافت كاسات عملاق 680 جرام,KRAFT CREAM CHEESE SPREAD 680G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/9300650354418.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1082,جبن كرافت كاسات 140جرام,KRAFT CREAM CHEESE SPREAD 140G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/93650656.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1083,جبن بوك بيضاء كاسات 140جرام,PUCK CREAM CHEESE GLASS 140G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/98515.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1084,جبن بوك بيضاء كاسات 500جرام,PUCK CREAM CHEESE GLASS 500G,15.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/98625_2.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1085,جبن بوك بيضاء كاسات 690جرام,PUCK CREAM CHEESE GLASS 690G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/98620_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1086,جبن المراعي شيدر كاسات 140جرام,ALMARAI CHEDAR CHSE GLASS 140G,5.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13185_0.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1087,جبن المراعي شيدر كاسات 240جرام,ALMARAI CHEDAR CHSE GLASS 240G,8.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13195_1.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
1088,جبن المراعي شيدر كاسات 500جرام,ALMARAI CHEDAR CHSE GLASS 500G,14.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13205.jpg,غذائية,أجبان وقشطة وزبدة,Grocery,UHT Cream
