#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
3732,شامبو هيمالايا جاف مع بلسم400مل,HIMALAYA SHA DRYDAMAGEB 400ML,16.28,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/573995.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3733,شامبو برت دهني جديد 400مل,PERT GREASY SHAMPOO NEW 400ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/752195_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3734,شامبو برت عادي جديد 200مل,PERT NORMAL SHAMPOO NEW 200ML,7.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/752205_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3735,شامبو برت للشعر العادي 400مل,PERT SHAMPOO for normal haier 400ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/752275.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3736,شامبو برت جاف جديد700مل,PERT DRY SHAMPOO NEW 700ML,24.42,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/752280_0.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3737,شامبو شولدرز كثافة جديد 200مل,HEAD&SHOULDER SHA VOLUME 200ML,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790105.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3738,شامبو شولدرز كثافة جديد 400مل,HEAD&SHOULDER EXT VOLUME 400ML,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790115_0.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3739,شامبو شولدرز كثافة جديد 700مل,HEAD&SHOULDER EXTRA VOLUM 700M,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790125_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3740,شامبو شولدرز منعش جديد 700مل,HEAD&SHOULDER REFRESHING 700ML,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790185_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3741,شامبو شولدرز فريش جديد400مل,HEAD&SHOULDER N.FRSH 400ML,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790205_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3742,شامبو شولدرز فريش جديد 700مل,HEAD&SHOULDER NTRL FRESH 700ML,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790215_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3743,شامبو شولدرز عناية جديد 400مل,HEAD&SHOULDER SOTHNG CAR 400ML,19.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/790270_0.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3744,شامبو هيد شولدرز ضد تساقط200مل,HEAD&SHOULDER ANTI HAIRFAL200M,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/838545.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3745,شامبو هيد شولدرز ضد تساقط400مل,HEAD&SHOULDER ANTI HAIRFAL400M,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/838555_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3746,شامبو هيد شولدرز ضد تساقط700مل,HEAD&SHOULDER ANTI HAIRFAL700M,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/838565_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3747,شامبو صانسيلك قوة ولمعان 200مل,SUNSILK SH.SHNE&STRENGTH 200ML,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839815_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3748,شامبو صانسيلك للشعرالتالف200مل,SUNSILK SH.DAMAGE REPAIR 200ML,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839835_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3749,شامبو صانسيلك ضد تساقط 200مل,SUNSILK H.FALL SOLUTION 200ML,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/s/u/sunsilk-shampoo.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3750,شامبو صانسيلك للشعر ناعم 200مل,SUNSILK SH.PRFCT STRAIGHT 200M,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839875_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3751,شامبو صانسيلك قوة ولمعان 700مل,SUNSILK SH.SHNE&STRENGTH 700ML,24.94,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839905.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3752,شامبو صانسيلك للشعرالتالف700مل,SUNSILK SH.DAMAGE REPAIR 700ML,24.94,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839915.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3753,شامبو صانسيلك قوةولمعان 400مل,SUNSILK SH.SHNE&STRENGTH 400ML,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839945_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3754,شامبو صانسيلك نعومةوحيوية400مل,SUNSILK SHAM SOFT&SMOOTH 400ML,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839955_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3755,شامبو صانسيلك ضد تساقط 400مل,SUNSILK H.FALL SOLUTION 400ML,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/839975_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3756,شامبو صانسيلك نعومة وحيوية700مل,SUNSILK SH.SOFT & SMOOTH 700ML,24.94,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/4/845805_3.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3757,شامبو هيربال بلا لف ودوران200مل,HERBAL E.SEDCTVLY STRGHT 200ML,8.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/856685.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3758,شامبو هيربال ملون الوان 200مل,HERBAL E.IGNITE MY COLOR 200ML,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/856695.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
3759,شامبو هيربال كثير كثيف 200مل,HERBAL ESENCES BODY ENVY 200ML,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/856715_1.jpg,الصحة والجمال,عناية  الشعر,Health & Beauty,Hair Care
