#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4977,قدر ضغظ بيستر 7ل,BISTER PRESSURE COOKER 7L,62.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125215.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4978,قدر ضغظ بيستر 9ل,BISTER PRESSURE COOKER 11L,72.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125225_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4979,قدر ضغظ بيستر 11ل,TRUST FRY PAN 30CM,82.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125235_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4980,مقلاة تروست 30سم,TRUST FRY PAN 22CM,37.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/3/730485_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4981,مقلاة تروست 22سم,ROYALFORD C.SET 8'S,27.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/3/730445_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4982,طقم قدور رويال فورد 8ح,ROYALFORD FRYPAN 26cm,178.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1176385.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4983,مقلاة نيو فلون 26ان,ROYALFORD FRYPAN 1826CMTURNR,31.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1121825_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4984,مقلاة رويال فورد 2618سممغرفة,LUMINARC NEW MORNNG 6'S,63.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1085525_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4985,كاسات شاي لومينارك طقم6ح,TIGER VACUUM JUG PXE_1000CR,39.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1180885.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4986,ترموس النمر بي اكس اي _1000سي,TIGER VACUUM JUG PXJ_160S,89.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/122935.png,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4987,مقلاة تروست 24سم,BISTER PRESSURE COOKER 9L,31.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/3/730455_0.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4988,كسرولة تروست 14سم,TRUST FRY PAN 24CM,28.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/3/730685.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4989,كاسات شاي لومينارك طقم6ح,TRUST SAUCE PAN 14CM,30.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1180905.jpg,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
4990,صينية فرن هوم ميكا مستطيلة 3حبه,LUMINARC NEW MORNING 6'S,53.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1129245.png,عناية المنزل,أواني منزلية,Home Care,Kitchen Needs
