#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4643,مناديل شير حريري 10 200 منديل,shear silky touch tissues 10x200pcs,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/1265041.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4644,مناديل مطبخ ركس 8 رول 23 سم,REX KITCHEN TOWELS 28cm,7.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/582831_1.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4645,ورق مطبخ ركس رول 28سم,FINE TOILET STRONG&SOFT 4ROLLS,4.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/565845_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4646,ورق حمام فاين قويةوناعمة4رول,FINE TOILET PAPER JUMBO 6ROLLS,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/943585_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4647,ورق حمام فاين جامبو 6رول,KLEENEX BATHROM TISSUES 16ROLL,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/943565.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4648,ورق حمام كلينكس 16رول,KLEENEX TOILET TISSUES 4ROLL,38.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/1/812561_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4649,ورق حمام كلينكس 4رول,KLEENEX TOILET TISSUES 2ROLL,10.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/646731_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4650,ورق حمام كلينكس 2رول,KLEENEX TOILET TISSUE ROLL 6'S,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/646721_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4651,ورق حمام كلينكس رول 6 حبه,BOUQUET TOILET TISSUES 4ROLLS,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/631201_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4652,ورق حمام بوكيه سانيتا 4رول,BOUQUET TOILET TISSUES 9ROLLS,10.24,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/564185_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4653,ورق حمام بوكيه سانيتا 9رول,BOUQUET TOILET TISSUES 6ROLLS,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/564175_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
4654,ورق حمام بوكيه سانيتا 6رول,CLUB BATHROOM TISSUE 8ROLLS,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/564165_0.jpg,عناية المنزل,منتجات ورقية,Home Care,Paper Products
