#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4720,كاسات سانيتا ورق 50حبه,SANITA PAPER CUPS 9oz 50'S,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1108025_1.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4721,مفارش قطار العائلة 100قطعة,FAMILY TRAIN TABLE COVER 100 PCS,23.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/668585_0.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4722,مفارش سفرة موج رول 25حبه,MAOG 25 TABLE COVER 100x85cm,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/663995_0.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4723,مفارش سفرة موج رول 50حبه,MAOG 50 TABLE COVER 100x85cm,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3087095.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4724,مفارش سفرة فيكتو فواكه110سم 60حبه,VICTO TABLE COVER FRUIT 85x110cm 60S,23.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/638585_0.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4725,مفارش سفرة الجمل 6رول 90×80سم,GAMEL TABLE COVER 6 ROLL 90x80cm,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/553201_1.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4726,مفارش سفرة كلوب الالوان مطور,CLUB TABLE COVERS IMPROVED,13.13,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/8/481685_0.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4727,مفارش سفرة موج رول 30حبه,MAOG 30 TABLE COVER 100x85cm,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/9/292265_0.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4728,مناديل سفرة شارم 40×40سم 30حبه,CHARM DINNER NAPKINS 30'S,6.04,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/567515_1.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
4729,مناديل سفرة سيليكت صغير 20حبه,SANITA NAPKINS SMALL 20'S,6.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/364705.jpg,عناية المنزل,منتجات بلاستيكية,Home Care,Plastic Products
