#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
5004,شواية كومتيل كهرباء,KUMTEL ELECTRICAL GRIL,69.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/351985_1.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5005,شاشه اي تي سي إل اي دي ٣٢ بوصه,ATC LED TV 32 #LD_32LDHC,699.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1153955_1.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5006,5060Hz دفايه دوسيل مدورة كهربائية,DOSEL ROUND ELEC.HEATR 5060Hz,129.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1197865_1.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5007,خلاط كينوود مع مطحنة,KENWOOD BLENDER 335007016,103.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/507695.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5008,فرن برولاين ٢٢٠ فولت,pro line ElE Oven 220v,313.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/805755.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5009,بلاك اند ديكر محضر طعام ,B&D Food Pro 18 Func,229.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/1267095.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5010,  فرن امجوى باور كهربائي ٤٥ لتر,EMJOI ELECTRIC OVEN #UETO_45LR,313.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/1221885.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5011,فرن مايكرويف شارب 20 لتر,SHARP MICROWAVE OVEN #R_20AS,261.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/1279335.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5012, مكنسة اليكتا برميل #2002_CVE,ELEKTA VACUUM CLEANER EVC_2002,208.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/883405_1.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5013,مسرح منزلي سامسونج # اي 330 كي ,SAMSUNG HOME THEATER #HT_E330K,418.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1165195.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5014,خلاط كينود  2 مطحنه,KENWOOD BLENDER 1L 335012,142.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/2/528335.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5015,شاشة سامسونج بلازما 51” #2اي450,SAMSUNG PLASMA TV 51 #D450A2,2899.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1159015.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5016,مكنسة سامسونج 1600واط#4320,SAMSUNG V.CLEANER 1600W#4320,300.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1149215.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5017,شوايةامجوي كهربائية1800واط#193,EMJOI ELECT.GRIL 1800W #UEG193,240.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/938135_1.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5018,مفرمة لحم نيكاي 1200وات #749,NIKAI MEAT GRNDER 1200W NMG749,195.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/1/811155.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5019,عصارة براون عصير 9,BRAUN MULTIPRESS JUICER MPZ 9,149.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/652925.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5020,مكنسة سامسونج 3.5لتر #5660,SAMSUNG V.CLEANER 3.5L#5660,269.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1149225.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
5021,مكواة كينوود جاف #192006,KENWOOD DRY IRON #OWDI192006,49.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1175565_1.jpg,الإلكترونيات,أجهزة منزلية,Electronics,Home Appliances
