#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1570,دجاج فقيه طازج 900جرام,FAQEIH FRESH CHICKEN 900G,13.13,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/image_1.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1571,دجاج الفروج الذهبي 751850جرام,GOLDEN CHICKEN 751G_850G,12.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/214215.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1572,دجاج انتاج طازج كيس 1100جرام,ENTAJ FRESH CHICKEN BAG 1100G,16.02,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/628885_0.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1573,دجاج انتاج طازج كيس 900جرام,ENTAJ FRESH CHICKEN BAG 900G,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/628865_0.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1574,بيض قطينه كبير 30حبه,QUTAINAH EGG LARGE 30'S,16.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/822321.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1575,بيض طازج ابيض كبير 30حبه,FRESH WHITE EGG LARGE 30'S,14.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/511341.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1576,بيض المائدة كبير #1 30حبه,ALMAEDA EGG LARGE #1 30'S,16.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/9/496031.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1577,دجاج فقيه طازج 1100جرام,FAQEIH FRESH CHICKEN 1100G,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/559125_1.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1578,دجاج الفروج الذهبي 1050ج,GOLDEN CHICKEN 1050G,13.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/214235.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
1579,كبدة دجاج اليوم طازجة 400ج,ALYOUM FRSH CHICKEN LIVER 400G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/695975_2.jpg,الطازج,دواجن وبيض,Fresh & Bakery,Fresh Chicken & Eggs
