#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1636,زنجبيل معجون ذائقة 750 جرام,Garlic Crushed WGinger fresh,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/5029_1.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1637,معجون ثوم طازج صيني,GARLIC FRESH PASTE,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/113_1.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1638,برتقال عصير,ORANGES VALANCIA,2.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/o/r/orange-2.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1639,خوخ علبة,PEACH CAN,8.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/641r_0.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1640,برتقال ابوصرة,ORANGE NAVEL,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/1639_0.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1641,مانجو سمك,MANGO FISH,6.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/1686r_0.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1642,ليمون تركي صندوق,LEMON TURKISH BOX,12.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/5060_1.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1643,فلفل حار اخضر هندي,CHILI GREEN HOT INDIAN,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/g/r/green_chilli.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1644,فلفل حار احمر طويل,CHILI HOT RED LONG,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/0/f/0felfel_7ar_12345.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1645,فلفل حار اخضر,CHILI HOT GREEN,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/621_0.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1646,فلفل بارد احمر,CHILI BELL RED,5.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/f/4f308691.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1647,فلفل بارد اصفر,CHILI BELL YELLOW,9.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/624.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1648,فلفل بارد اخضر,CHILI BELL GREEN,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1013_2.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1649,فلفل وسط,CHILI MEDIUM,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/g/r/green-peppers-871282749147hm1e.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1650,كوسة,ZUCHINI,4.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/g/r/grow-zucchini.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1651,بصل احمر كيس كبير,ONION RED LARGE BAG,2.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/1691.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1652,بابايا طازج عبوة,PAPAYA FRESH PACK,10.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/159.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1653,افكادو,AVCADO BOX,12.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/a/v/avocado-lancastria.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1654,موز كبير,BANANA LARGE,4.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/555.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
1655,موز صندوق,BANANA BOX,17.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/287.jpg,الطازج,فواكه وخضروات,Fresh & Bakery,Fruit & Vegetables
