#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2135,خضار مشكل السنبلة مجمد 450ج,SUNBULAH MIXED VEGETABLES 450G,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/116035.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2136,"بطاطس مكين شوسترينغ 2,5كيلو",MCCAIN POTATO SHOESTRING 2.5KG,23.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/764960_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2137,"بطاطس ماك كين ذهبية شرائح1,5كيلو",MC CAIN GOLDEN LONG 1.5K,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/764890_0_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2138,بطاطس لامب وستون كريسكتس 2500جرام,LAMBWESTON P.CRISS CUTS 2500G,46.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/695800.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2139,بامية فارم فريتس مجمدة 400 جرام,FARM FRITES OKRA 400G,5.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/911710_0_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2140,بطاطس لامب وستون بوميس 2500 جرام,LAMBWESTON POMMES FRITES 2500G,23.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/584250_1.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2141,ذرة امريكانا كوز مجمد 4 حبة,AMERICANA CORN ON THE COB 4'S,16.28,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/359225.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2142,ذرة العملاق انصاف كوز مجمد 6 حبة,GREENGIANT 6 NIBBLERS CORN.,12.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/303235.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2143,فاصوليا السنبلة قطع مجمدة 450 جرام,SUNBULAH CUT GREEN BEANS 450G,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/165065_0_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2144,فول السنبلة مجمد 450 جرام,SUNBULAH BROAD BEANS 450G,11.03,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115935_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2145,بطاطس مكين سوبر كريسبس 5.1كيلو,MCCAIN PTATO SUPER CRISP 1.5KG,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/764910.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2146,بطاطس ودجز لامبوستن 2.5 كيلو,LAMBWESTON WEDGES POTATO 2.5K,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/541935_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2147,بزاليا وجزر السنبلة مجمده 450 جرام,SUNBULAH G.PEAS&CARROTS 450G,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/787065_0.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2148,بزاليا السنبلة مجمدة 450جرام,SUNBULAH GARDEN PEAS 450G,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115975.png,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
2149,ذرة العملاق انصاف كوز مجمد 12حبه,GREENGIANT 12 NIBBLERS CORN.,25.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/303245.jpg,المجمدات,خضروات وفواكه,Frozen,Fruit & Vegetables
