#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2498,ايسكريم كون زون فانيلا 1ل,CONE ZONE VANILLA ICE CREAM 1L,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125665.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2499,ايسكريم اكلوو فانيليا 1لتر,IGLOO VANILLA 1L,17.33,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/385160.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2500,ايسكريم اكلوو شوكو 1 لتر,IGLOO CHOCOLATE 1L,17.33,http://www.othaimmarkets.com/skin/frontend/default/othaimshop/images/catalog/product/placeholder/image.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2501,ايسكريم اكلوو مانجو 1لتر,IGLOO MANGO 1L,17.33,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/384950.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2502,ايسكريم اكلوو كولفي 1لتر,IGLOO KULFI 1L.,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/384940.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2503,ايسكريم اكلوو بترسكوتش 1لتر,IGLOO BUTTER SCOTCH 1L.,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/384930.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2504,ايسكريم باونتى 6×2×20مل,BOUNTY ICE CREAM 6x20G,17.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/982661_0.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2505,ايسكريم جالكسى 5×44.5 جرام,GALAXY ICE CREAM 5x44.5G,17.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/982651.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2506,ايسكريم السعودية ساندويش,SAUDIA ICE CREAM SANDWICH,1.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/7/178105_1.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2507,ايسكريم كون زون شوكولاتة كريم1ل,CONE ZONE CHOCOLATE CREAM 1L,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125695.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2508,ايسكريم كون زون قرص العسل500مل,CONE ZONE CRUNCY HNY CMB 500ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1125700.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2509,ايسكريم السعودية شوكولاته 2ل,BASKIN ROBBINS STRAWBERY 500ML,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/107975_0.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2510,ايسكريم السعودية شوكولاته 500مل,SAUDIA ICE CREAM CHOCOLATE 2L,7.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/107985_0.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2511,ايسكريم السعودية فراولة 2ل,SAUDIA ICECREAM CHOCLATE 500ML,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/108175.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2512,ايسكريم كون زون فانيليا 2ل,CONE ZONE VANILLA ICE CREAM 2L,45.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/669165_0.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2513,ايسكريم كون زون شوكولاته 500مل,CONE ZONE CHOCOL ICECREM 500ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/669155_1.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2514,ايسكريم السعودية فانيليا 2ل,SAUDIA VANILLA ICE CREAM 2LTR.,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/108245_0.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2515,ايسكريم السعودية فراولة 500مل,SAUDIA ICECREAM STRBERRY 500ML,7.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/108155_0.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
2516,ايسكريو كون زون توفي 2لتر,CONE ZONE TOFFEE ICE CREAM 2L,45.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/669185.jpg,المجمدات,آيس كريم وحلويات,Frozen,Ice Cream & Cakes
