#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2203,عجينة الكرامة سبرنج رول 250 جرام,ALKARAMAH SPRING ROLL PASTRY 250G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/132160.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2204,فطائرالكبير بالخضار 240 جرام,ALKABEER 8VEG SPRING ROLL 240G,11.03,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/12520.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2205,عجينة السنبلة سبرنج بيض 345 جرام,SUNBULAH EGG ROLL PASTRY 345G,7.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/115960.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2206,بيتزا السنبلة فجي دلايت 470 جرام,SUNBULAH V.DLIGHT PIZZA 470G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3026455.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2207,عجينة السنبلة سبرنج رول 160 جرام,SUNBULAH SPRING R.PASTRY 160G,3.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/116085.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2208,بيتزا السنبلة بيبروني 470 جرام,SUNBULAH PEPPERONI PIZZA 470G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/137295_0.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2209,بيتزا ساديا مارغاريتا 440 جرام,SADIA PIZZA MARGHERITA 440G,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/9/591275_0.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2210,بيتزا السنبلة دجاج بريمياتا 460 جرام,Sunbulah PIZZA PREMIATA CHKN 460G,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/750560.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2211,بيتزا السنبلة مرجريتا 400 جرام,SUNBULAH 1 MARGARITA PIZA 400G,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/116065_0.jpg,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
2212,فلافل كاكو سندويتش 400جرم,KAKO FALAFEL 400G,6.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1150505.png,المجمدات,مأكولات مسبقة التحضير,Frozen,Ready to Eat
