#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
533,كورن فليكس نستلة شوكولاتة 375جرام,NESTLE COKIE CRISP CEREAL 375G,23.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/21758011_h.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
534,فروست فليكس سفوري 375ج,SAFFORI FROSTED FLAKES 375G,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/561895.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
535,كورن فليكس شريوس عسل 375 جرام,NESTLE CHEERIOS HONEY NUT 375G,20.48,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/n/e/nestle-honey-nut-cheerios-1325-p.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
536,كورن فليكس كلوقز كوكو بوبس 500 جرام,KELLOGGS COCO POPS 500G,24.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1111185.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
537,فروت لوبس سفوري 375 جرام,SAFFORI FRUIT LOOPS 375G,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/561945_0.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
538,كورن فليكس بوبينز بامس 375 جرام,POPPINS CHOCO BUMPS 375G,16.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/3/437035_0.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
539,كورن فليكس بوبينز كوكوبيتز 750 جرام,POPPINS COCOBITS 750G,27.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/414855_0.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
540,كورن فليكس بوبينز منوع 8×30 جرام,POPPINS CORNFLAKES ASSTD 8x30G,9.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/414841_2.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
541,كورن فليكس فروستيز 500جرام,KELLOGGS FROSTIES 500G,24.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/3/232805.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
542,كورن فليكس فينتس عسل&لوز 355جرام,NESTLE FITNESS HONEY&ALMO.355G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/f/i/fitness_honey_almond_nestle__82938_zoom.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
543,كورن فليكس نستله شوكابيك 375جرام,NESTLE CHOCAPIC 375G,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/c/h/chocapic_detail.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
544,كورن فليكس كونتري نستله 700جرام,NESTLE COUNTRY CORNFLAKES 700G,19.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/2/421025.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
545,كورن فليكس كلوقز شوكوس 375جرام,KELLOGGS COCO POPS CHOCOS 375G,20.95,http://www.othaimmarkets.com/skin/frontend/default/othaimshop/images/catalog/product/placeholder/image.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
546,كورن فليكس بران سفوري 375 جرام,SAFFORI BRAN FLAKES 375G,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/561925_0.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
547,كورن فليكس نسكويك ديو 335جرام,NESQUICK DUO CHOCO CEREAL 335G,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/n/e/nesquik_duo.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
548,كورن ف كلوقز رايس كريسبيز 375 جرام,KELLOGGS RICE KRISPIES 375G,14.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/60007011_h.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
549,كورن فليكس بوبينز عسل 750 جرام,POPPINS HONEY FLAKES 750G,24.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/414825_1.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
550,كورن كلوقز كوكو بوبس شوكو500 جرام,KELLOGGS COCO POPS CHOCOS 500G,24.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/5050083392801.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
551,كورن فليكس كلوقز كوكوبوبس 375 جرام,KELLOGGS COCO POPS 375G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/c/o/coco-pops-(375g)(1).jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
552,كورن فليلس فليك بوبينز 1 كيلو,POPPINS CORN FLICK FLAKES 1K,22.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1156025_0.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
553,كورن فليكس كلوقز فروستيز 750جرام,KELLOGGS FROSTIES 750G,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/220640_0.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
554,كورن فليكس نستله كونتري 375 جرام,COUNTRY CORNFLAKES 375G,11.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/c/o/country-corn-flakes.jpg,غذائية,حبوب إفطار,Grocery,Cereal Food
