#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
356,زيت صباح نباتي صافي 1.8لتر,Sabah Pure Vegetable Oil 1.8 L,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/1283175.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
357,زيت هالي نباتي علب 16لتر,AFIA CORN OIL 1.8L,63.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/937245_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
358,زيت زيتون كوبوليفا زجاج 500مل,HALEY VEGETABLE OIL CAN 16L,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/801735_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
359,زيت زيتون كوبوليفا زجاج 250مل,COOPOLIVA OLIVE OIL 500ML,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/801725_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
360,زيت زيتون السوسن زجاج 250مل,COOPOLIVA OLIVE OIL 250ML,9.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/695095_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
361,زيت زيتون الجوف زجاج 250مل,ALSAWSAN OLIVE OIL 250ML,12.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658735_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
362,زيت زيتون ار اف بكر 2لتر,ALJOUF OLIVE OIL 250ML,58.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/153175w.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
363,زيت زيتون ار اف بكر زجاج 500مل,RF VIRGIN OLIVE OIL 2L,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/150085_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
364,زيت زيتون ساسو علب 400مل,RF VIRGIN OLIVE OIL 500ML,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/92095_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
365,زيت زيتون ساسو علب 175مل,OLIO SASSO OLIVE OIL 400ML,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/92085_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
366,زيت زيتون الوزير زجاج 500مل,OLIO SASSO OLIVE OIL CAN175ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/16405_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
367,سمن مازولا نباتي زبدة 2لتر,ALWAZIR OLIVE OIL 500ML,31.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/58525_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
368,زيت زيتون ار اس زجاج 500مل,MAZOLA V.GHEE BUTTER CAN 2L,16.28,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/56385.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
369,سمن نجدية 700جرام,RS OLIVE OIL BOTTLE 500ML,24.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/1/819925.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
370,سمن مازولا زبدة نباتي 1لتر,NAJDYAH PURE GHEE 700G,17.59,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/m/a/mazolaveggheebutterflav1lt_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
371,سمن ديلكو شوكة وملعقة 900 جرام,MAZOLA VEG GHEE BUTTER CAN 1L,10.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/747005_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
372,زيت زيتون الجوف زجاج 750مل,DELICO VEGETABLE GHEE 900G,31.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658725_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
373,زيت زيتون السوسن زجاج 500مل,ALJOUF OLIVE OIL 750ML,16.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658065_0.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
374,"زيت عافية ذرة 1,8لتر",HALEY CORN OIL TRANSPARENT1.8L,24.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/6/561955_3.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
375,"زيت هالي ذرة 1,8لتر",LEEZA Cooking OIL 1.8L,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/514705_1.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
376,زيت ليزا للطبخ 1.8لتر,MAZOLA CORN OIL 5L,17.33,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/3/231855.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
377,نخيل زيت نباتي للقلي ١٫٨ لتر,Nakheel vegetable frying oil 1.8 L,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/912955.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
378,زيت فيكتو للقلي ١٫٨ لتر,Victo Frying Oil 1.8 L,8.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/1311595.jpg,غذائية,زيوت وسمن,Grocery,Oils & Ghee
