#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4072,لوشن نيفيا لشد البشرة 400مل,NIVEA FIRMING B.LTN NRML 400ML,37.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/961025_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4073,لوشن نيفيا بالمسك جذاب 400مل,NIVEA LOT.SENSUAL MUSK 400ML,24.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1139545.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4074,لوشن جسم دوف تغذية الغنية 400مل,DOVE LOTION INDULGENT 400ML,25.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1135915.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4075,لوشن دوف التغذيةالاساسية 400مل,DOVE LOTION ESSENTIAL 400ML,30.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1135895.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4076,كريم نيفيا فيزاج 200مل,NIVEA VISAGE GENTLE TONER200ML,26.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/133405.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4077,سائل ح دوف للرجال اكسترا 250مل,DOVE MEN F.WASH EX.FRESH 250ML,16.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1177555.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4078,سائل ح دوف للرجال اكوا 250مل,DOVE MEN F.WASH AQUA IMP.250ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1177565.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4079,لوشن بالمرز لشد الجلد 250 مل,PALMERS C.BUT.F.POST_NTAL 250M,28.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/871315_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4080,تونيك بشرة لوريال بيرفكت 200مل,L'OREAL WHITE PRFCT TONER 200M,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/746665_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4081,جلي فازلين ملطف زبدةكاكاو480مل,VASELINE NEW COCOA BUTER 480ML,30.72,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1109095_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4082,لوشن جرجنز مقاوم شيخوخة 400مل,JERGENS AGE DFYING LOTION 400M,25.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/749955_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4083,كريم غارنية بي بي فاتح 50مل,GARNIER BB CREM 5n1 LIGHT 50ML,35.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1197015.png,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4084,غسول جونسون منعش عادي 150مل,JOHNSONS FC.DE REFRSHNG 150ML,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/5/45345_2.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4085,سائل اولاي ابيض تفتيح بشرة75مل,OLAY NATURAL WHITE FLUID 75ML,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/201631.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4086,كريم اولاي لتفتيح البشرة نهاري 50جرام,OLAY NTRL WHITE DAY REAM 50G,20.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/201645_2.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4087,غسول وجه جونسون مقشر لطيف150مل,JOHNSONS F.CARE EXFOLTNG 150ML,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/3/437125_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4088,كريم هيمالايا لتنظيف الوجه150مل,HIMALAYA FACE WASH CREAM 150ML,28.62,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/573505_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4089,مقشر بشرة هيمالايا جوز 150مل,HIMALAYA G.WALNUT SCRUB 150ML,28.62,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/573525_1.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4090,مجدد بشرة هيمالايا فواكه 150مل,HIMALAYA R.FRUIT PACK 150ML,29.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/573535_1.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4091,غسول وجه هيمالايا رغوة نيم150مل,HIMALAYA NEEM F.FACE WASH 150M,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/573575_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4092,غسول وجه هيمالايا منقي 150مل,HIMALAYA NEEM FACE WASH 150ML,29.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/573745_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4093,منظف وجه كلين اند كلير يومي 150مل,CLEAN&CLEAR DAILY SCRUB 150ML,36.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/b/l/blackhead-daily-scrub.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4094,مرطب اولاي كلاسيك لكل بشرة 200مل,OLAY CLASSIC BEAUTY FLUD 200ML,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/665925_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4095,كريم اولاي مغذي للبشرة ليلي 50مل,OLAY CRM COM.NIGHT ENRCHD 50ML,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/665935_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4096,كريم اولاي للبشرة الحساسة نهاري50مل,OLAY SENSITIVE DAY CREAM 50ML,30.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/665945.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4097,غسول جونسون مغذي بشرة جاف150مل,JOHNSONS FC.DE NOURSHNG 150ML,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/669105_1.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4098,غسول وجه نيوتروجينا ديب 200مل,NEUTROGENA DEEP CLEAN 200ML,38.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/669435_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4099,مرطب اولاي توتال افيكتس 150مل,OLAY TOTAL EFFECT F.WASH 150ML,41.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/674055.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4100,كريم لوريال مقاوم التجاعيد ليلي 50مل,L'OREAL RVTLIFT NIGHT CRM 50ML,65.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/746685.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4101,غسول وجه فيزيبلي كلير2 في 1 150مل,VISIBLY CLEAR WSH MSK 2n1 150M,36.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/802225_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4102,غسول وجه فيزيبلي كليرمقشر150مل,VISIBLY CLEAR EXFOLIATING 150M,41.48,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/0/802235.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4103,غسول وجة فارمسي ليمون 280مل,FARMASI FC.NAT.VIT.E LMN 280M,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/9/899575.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4104,كريم اولاي لتفتيح البشرة ليلي 50جرام,OLAY CRM NTRL WHITE NIGHT 50G,20.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915430.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4105,كريم اولاي لتفتيح البشرة ليلي 50مل,OLAY CRM AGE DEFYING NGHT 50ML,46.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915445_0.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
4106,كريم اولاي للتفتيح والتجديد ليلي50جرام,OLAY CREAM WHITE RADIANCE 50G,53.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915460.jpg,الصحة والجمال,عناية الجسم والوجه,Health & Beauty,Body & Face Care
