#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
3635,معجون سنسوداين واقي المينا75مل,COLGATE TOTAL A.WHITENING 125M,34.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/919030.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3636,فرشاة ريتش كنترول وسط,REACH CONTROL MEDIUM T.BRUSH,8.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/583190.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3637,فرشاة ريتش انتردنتال وسط,REACH INTERDENTAL MEDIUM TB,11.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/583200.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3638,فرشاة اسنان ريتش كنترول ناعمة,REACH CONTROL T.BRUSH SOFT,8.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/669370.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3639,فرشاة سنسوداين الترا حساسة,SENSODYNE ULTRA SENSITIVE TB,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/740650.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3640,فرشاة اسنان سنسوداين سوفتيكس,SENSODYNE SOFTEX TB,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/740660.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3641,فرشاة اسنان سنسوداين اليت,SENSODYNE ELITE TOOTHBRUSH,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/740820.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3642,فرشاةاسنان سنسوداين عنايةكاملة,SENSODYNE TOTAL CARE TOOTHBRSH,21.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/740830.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3643,فرشاة اسنان تريزا خشن,TRISA TOOTHBRUSH HARD,14.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/906670.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3644,اعواد اسنان قطار العائلة 280حبه,FAMILY TRAIN FLOSSTIK 280'S,6.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/7/271090_1.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3645,معجون سواك اطفال فراولة 50جرام,SIWAK.F JUNIOR STRAWBERRY 50G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/283815_0.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3646,فرشاة اسنان اورال بي كلينك وسط,ORAL_B PRO_FLEX CLINIC MEDUIM,28.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157265.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
3647,فرشاة أسنان بنات كاردينت 2 حبه,BANAT TB CAREDENT 2DUO MEDIUM,7.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/857631.jpg,الصحة والجمال,عناية الأسنان,Health & Beauty,Dental Care
