#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4027,مزيل ع ليدي سبيد فريش 65جرام,LADY SPEED FRESH FUSION 65G,22.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/838375.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4028,مزيل عرق فا ناتيرال فريش 150مل,FA DEOSPRAY NATURAL FRSH 150ML,14.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/w/t/wt1003fa-2t.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4029,مزيل عرق فا اكوا 150مل,FA DEO SPRAY AQUA 150M,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/672700.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4030,مزيل عرق سيتي مين انرجايز150مل,CITY MEN SPRAY ENERGISE 150ML,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/u/n/untitled-1.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4031,مزيل عرق سيتي مين ديناميك150مل,CITY MEN SPRAY DYNAMIC 150ML,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/83120.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4032,مزيل عرق سيتي مين اكسايتنج 150مل,CITY MEN EXCITING SPRAY 150ML,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/83110.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4033,مزيل عرق جيليت اركتك ايس 45مل,GILLETTE P.PWR CREM A.ICE 45ML,22.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/9/896990.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4034,مزيل عرق دوف كريم 50مل,DOVE DEO CREAM 50ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/359790.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4035,مزيل عرق ريكسونا ستيك ايونك40جرام,REXONA STICK IONIC 40G,13.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/798730.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4036,مزيل عرق نيفيا طبيعي رول 40مل,NIVEA STCK PURE&NAT.EFECT 40ML,14.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1095395.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4037,مزيل عرق فا ماكسيمم بروتاكت150مل,FA DEOSPRAY MAX.PROTECT 150ML,14.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1123770.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4038,مزيل عرق نيفيا نسائي بخاخ150مل,NIVEA DEO SPRAY (W) 150ML,15.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/79311.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4039,مزيل ع ليدي سبيد كرسب خيار 65جرام,LADY SPED S.CRISP CUCUMBER 65G,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/387665.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4040,مزيل عرق دوف اوريجينال 169مل,DOVE DEO SPRAY ORIGINAL 169ML,16.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/744255.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4041,مزيل عرق ريكسونا اكستريم 40ج,REXONA STICK EXTREME 40G,13.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/798725.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4042,مزيل عرق نيفيا خلاصةاللؤلؤ200مل,NIVEA SPRAY PEARL&BEAUTY 200ML,18.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/782515_0.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4043,مزيل عرق ريكسونا اوكسجين 40ج,REXONA STICK OXYGEN 40G,13.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/798715.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4044,مزيل عرق مام مسك رول 50مل,MUM MUSK ROLL_ON 50ML,12.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/140215.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
4045,مزيل عرق نيفيا رجالي فريش 200مل,NIVEA DEO S.FRESH (M) 200ML,18.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/3/430595.jpg,الصحة والجمال,مزيلات عرق,Health & Beauty,Deodorant
