#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
3462,جل ح بالموليف راحة فائقة 250مل,PALMOLIVE S.GEL AB.RELAX 250ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1135135.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3463,صابون يد ركس ورد 550مل,REX HAND SOAP ROSE 500ML,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/617545.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3464,صابون يد ديتول عنايةيومية250مل,DETTOL DAILY CARE HAND WA 250M,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1167725-01.png,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3465,صابون امبريال انيق 51 125جرام,IMPERIAL ELEGANCE 51x125G SO,11.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/4/442591_0.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3466,صابون فا فيتالزينج 175جرام,FA VITALIZING SOAP 175G,4.47,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/618225_0.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3467,صابون فا رفريشتنج 175جرام,FA REFRESHING SOAP 175G,4.47,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/618245_0.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3468,صابون بالموليف برتقال 175جرام,PALMOLIVE SOAP CITRUS AND CREAM 175G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658825.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3469,صابون بالموليف زهري ورد 175جرام,PALMOLIVE SOAP PINK ROSE 175G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658835.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3470,صابون بالموليف اخضر زيتون 175جرام,PALMOLIVE GREEN OLIVE 175G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658845_0.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
3471,صابون بالموليف برتقال 125جرام,PALMOLIVE SOAP CITRUS AND CREAM 125G,3.68,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/658875.jpg,الصحة والجمال,صابون الأيدي والجسم,Health & Beauty,Soap & Shower Gel
