#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4612,قصدير كلوب 45سم,CLUB ALUMINUM FOIL 45cm,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/4/34685_1.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4613,اكياس سانيتا حفظ اطعمة26×27سم,SANITA STORGE BAG 27x26cm 20'S,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/6/761715_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4614,اكياس سانيتا حفظ اطعمه21×41سم,SANITA FREZER BAG 21x41cm 20'S,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/822815_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4615,اكياس شراع حفظ اطعمة #12,SHIRAA FOOD STORAGE BAGS #12,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/936885_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4616,اكياس نابكو حفظ اطعمة #14,NAPCO FOOD STORAGE BAG #14,8.67,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/88520.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4617,اكياس نابكو حفظ اطعمة #16,NAPCO FOOD STORAGE BAG #16,11.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/88530.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4618,اكياس نابكو حفظ اطعمة #10,NAPCO FOOD STORAGE BAG #10,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/88540.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4619,اكياس نابكو حفظ اطعمة #12,NAPCO FOOD STORAGE BAG #12,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/88550.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4620,رول تغليف ركس 30×300متر,REX CLING FILM 30x300mtr,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/936305.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4621,رول تغليف ركس 45×300متر,REX CLING FILM 45x300m,30.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/936315.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4622,قصدير شير 3×37.5قدم,SHEAR ALUMINUM 3x37.5sq,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/936271.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4623,قصدير اورنيكس 37.5 قدم,ORINEX ALUMINUM FOIL 37.5sq,9.19,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1161105.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4624,اكياس سندوتش كلاسيك 300حبه,CLASSIC SANDWICH BAGS 300'S,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/85990_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4625,اكياس سندوتش كلاسيك 80حبه,CLASSIC SANDWICH BAG 80'S,6.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/85990_1.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4626,اكياس بلاستي نت حفظ اطعمة #8,PLASTI NET FOOD PACKING #8,12.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/585205_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4627,اكياس بلاستي نت حفظ اطعمة #10,PLASTI NET FOOD PACKING #10,16.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/585175_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4628,قصدير سانيتا 75قدم مربع,SANITA ALUMINUM FOIL 75sq.feet,10.77,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/850565_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4629,قصدير سانيتا 200قدم مربع,SANITA ALUMINUM FOIL 200sq.feet,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/945405_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4630,قصدير سانيتا 300 ملم,SANITA ALUMINUM FOIL 300mm,35.44,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/106505_0.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4631,"قصدير سانيتا 37,5قدم",SANITA ALUMINUM FOIL 37.5sq,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/106515_1.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
4632,قصدير سانيتا 450مم,SANITA ALUMINUM FOIL 450mm,51.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/106520.jpg,عناية المنزل,قصدير وحفظ وتغليف الماكؤلات,Home Care,Foils & Cling Films
