#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4299,حفائظ بامبزر وسط اقتصادي 46ح,PAMPERS ACTIVE V.PACK MED.46'S,48.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1100045_1.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4300,حفائظ بيبي جوي عملاق كبيرجدا52حبه,BABYJOY GIANT JUNIOR PACK 52'S,55.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/963525.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4301,حفائظ بيبي جوي وسط جامبو 58حبه,BABYJOY MEDIUM JUMBO PACK 58'S,45.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/6/861305.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4302,حفائظ بيبي جوي العملاق وسط 68حبه,BABYJOY GIANT MEDIUM PACK 76'S,55.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/963505_1.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4303,حفائظ بامبرز #3 18حبه,PAMPERS MEDIUM 4_9K 18'S,16.54,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983295r.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4304,حفائظ بامبرز #3 68حبه,PAMPERS MEDIUM 4_9K 68'S,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983325_1.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4305,حفائظ بامبرز #3 88حبه,PAMPERS Diapers #3 88Pcs,75.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983335.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4306,حفائظ بيبي جوي كبير 50حبه,BABYJOY LARGE JUMBO 50'S,45.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/6/861335_0.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4307,حفائظ بامبرز اقتصادي #4 40حبه,PAMPERS baby Diapers economy 40'S,48.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983055.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4308,حفائظ بامبرز #4 60حبه,PAMPERS LARG 7_18K 60'S,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983085.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4309,حفائظ بامبرز #5 15حبه,PAMPERS S.ANAT.JNR 11_25K 15'S,16.54,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983025.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4310,حفائظ بامبرز #2 64حبه,PAMPERS DRY&SOFT 3_6K 64'S,48.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983315.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4311,حفائظ بيبي جوي العملاق كبير 60حبه,BABYJOY GIANT LARGE PACK 60'S,55.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/963515.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4312,حفائظ بامبرز #1 66حبه,PAMPERS S.DRY&SOF.NB 2_5K 66'S,48.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983075.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4313,حفائظ بيبي جوي كبير جدا 16كيلو 38حبه,BABYJOY D.JUNIOR XXL 16KG 38'S,55.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1138045.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4314,حفائظ بامبرز #5 52 حبه,pamoers diapes 52pcs,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/a/9/a983105.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4315,لوشن جونسون اطفال 500مل,JOHNSONS BABY LOTION 500ML,39.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/94525_0.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4316,حفائظ بامبرز #5 العبوة الضخمة 70 حبة,PAMPERS Diapers Mega Pack 70pcs,75.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983145a.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
4317,حفائظ بامبرز عناية للمولود 33حبه,PAMPERS PRMIU CARE NEWBRN 33'S,35.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/912595r.jpg,احتياجات الطفل,عناية الطفل,Baby Needs,Baby Care
