#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2549,حلوى بقر لاكسوري المداح 800جرام,LUXURY CREAM FUDGE 800G,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/2/720535.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2550,بسكويت شاي اولكر 175جرام,ULKER TEABISCUIT 175G,2.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/123025_0_1.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2551,بسكويت ديمة مشكل 3×684جرام,DEEMAH BISCUIT ASRTD 3x684G PR,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/649305_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2552,بسكويت ديمة ملت بالحليب12×57جرام,DEEMAH MALT&MILK BISCUT 12x57G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/5/850965_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2553,بسكويت ديمة جلكوز بالعسل12×57جرام,DEEMAH GLUCOSE WTH HONY 12x57G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/930011_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2554,شابورة العثيم اصلية شرائح 375جرام,OTHAIM SLICED RUSK ORGNL 375G,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/632575_1.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2555,كليجا بلفيتا بالهيل 72ج,BELVITA KILEIJA W.CARDAMOM 72G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/134745.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2556,بسكويت اوريو كريمة شوكولاتة44جرام,OREO CHOCO CREME BISCUIT 44G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/996655_1.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2557,بسكويت اوريو حليب وشوكولاتة44جرام,OREO BISCUIT MILK&CHOCOLAT 44G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/996665_1.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2558,معمول لوزين تمر ميني 3×345ج,LUSINE MINI MAAMOUL 3X345G SO,12.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/906601_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2559,بسكويت اولكر سندوتش #77_4 25جرام,ULKER COKOSANDVIC #77_4 25G,0.79,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/122605_1.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2560,كيك اورين شوكو باي 20×28جرام,ORION CHOCO PIE CAKE 20x28G,20.48,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/c/h/choco10.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2561,بسكويت بورقات مالح خضار110جرام,BORGAT VEG CRACKERS 110G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/754725_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2562,بسكويت بورقات مالح جبن 110جرام,BORGAT CHEESE CRACKERS 110G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/754735_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2563,بسكويت بريتانيا ماسكا شاسكا71جرام,BRITANNIA MASKA CHASKA 71G,1.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/832275_0_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2564,بسكويت بالزن هت 150جرام,BAHLSEN HIT 150G,6.04,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/21345_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2565,بسكويت ديمة بالتمر 150جرام,DEEMAH BARS DATE 150G,2.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/0/40455_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2566,كيك يمامة غندور برتقال 12حبة,GANDOUR YAMAMA CAKE ORNGE 12'S,6.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/3/53025_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2567,كيك يمامة غندور فانيليا 12حبة,GANDOUR CAKE VANILLA 12'S,6.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/g/a/gandour-yama-vanilla-cake-25g.png,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2568,شابورة امريكانا احمر 375جرام,AMERICANA RUSK RED 375G,6.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/60385_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2569,بسكويت ماكفتيز ماري 200جرام,MC VITIES MARIE F.BISCUIT 200G,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/82145_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2570,معمول الكرامة تمر 500جرام,ALKARAMAH DATE MAAMOUL 500G,12.08,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/136055_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2571,بسكويت ريتز مالح كراكرز 400جرام,RITZ CRACKERS 400G,11.03,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/136515_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2572,بسكويت ريتز مالح كراكرز 200جرام,RITZ CRACKERS 200G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/136535_2.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2573,بسكويت تيشوب نخالة 260جرام,TEASHOP DIGESTIVE BISCUIT 260G,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/1/218315_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2574,بسكويت ديمة سوفتي بالتمر 378جرام,DEEMAH SOFTI DATE ROLLS 378G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/240105_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2575,بسكويت تيفاني دايجيستف 400جرام,TIFFANY DIGESTIVE NATURAL 400G,8.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/9/290205_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2576,معمول ديمة بالتمر 256جرام,DEEMAH MAAMOUL 256G,6.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/9/292841_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2577,كيك اورين شوكو باي 12×28جرام,ORION CHOCO PIE CAKE 12x28G,12.87,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/c/h/choco10_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2578,كيك اورين شوكو باي 6حبة 28جرام,ORION CHOCO PIE CAKE 6'S 28G,6.57,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/4/442201_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
2579,معمول حلواني بيبي 200جرام,HALWANI BABY MAAMOL 200G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/553225_0.jpg,مشروبات وحلويات,حلويات وتسالي,Beverage,Confectionery
