#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1956,لبنة اولكر تركية لايت 275ج,ULKER TURKISH LBNH LIGHT 275G,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/8/489705.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1957,لبنة اولكر تركية 10ح 20ج,ULKER TURKISH LABNEH 10'S 20G.,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/877295.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1958,زبادي المراعي قليل الدسم 400جرام,ALMARAI YOGHURT LF 400G,2.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/13975_0.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1959,زبادي الصافي 170جرام,ALSAFI YOGHURT 170G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/15345_0.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1960,زبادي الصافي قليل الدسم 170جرام,ALSAFI YOGHURT LF 170G.,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/15365_1.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1961,زبادي زادي فراولة 100جرام,ZADY YOGHURT STRAWBERRY 100G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/128515_0.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1962,زبادي نادك طازج 1كيلو,NADEC FRESH YOGHURT 1K,7.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/617205_0.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1963,زبادي المراعي طازج 6×170جرام,ALMARAI YOGHURT SKIMD 6x170G,6.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/994341_0.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1964,حلوى المراعي بون سويت شوكو100جرام,ALMARAI BON SWEET CHOLATE 100G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/830475.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1965,كاسترالمراعي سويت فانيليا 100جرام,ALMARAI BONSWEET VANILLA 100G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/878125_0.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1966,كاسترالمراعي بون سويت شوكو100جرام,ALMARAI BONSWEET CHOCO 100G,1.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/878135.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1967,كريمةدانيت شوكولاته شوكو,DANETTE CHOCATE CHOC CHACK128G,2.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/906925.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
1968,كريمةدانيت شوكولاته فانيليا128جرام,DANETTE VANILLA CHOC CHACK128G,2.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/0/906935.jpg,الطازج,منتجات ألبان,Fresh & Bakery,Dairy Products
