#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2124,لحم بقر برازيلي مبرد كرتون بي,BEEF CHILED BRAZIL CARTOON (B),39.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/5568_0.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2125,لحم غنم نعيمي طازج,NAIMI LAMB CARCASS FRESH,71.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/5126.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2126,ذبيحة خروف بربري طازج,BARBARI FRESH LAMB CARCASS,577.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/1573.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2127,ذبيحة خروف بربري طازج,BARBARI FRESH LAMB CARCASS,30.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/1620_1.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2128,لحم حاشي بالعظم طازج,CAMEL MEAT WBONES FRESH,19.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/5136.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2129,مكلاوي عجل,BALADI VEAL KIDNEY FRESH,41.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/8/3805_0.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2130,ذبيحة عجل مبرد باكستاني,PAKISTAN VEAL BONE CHILLED,21.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/3620_0.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2131,عجل هندي,INDIAN VEAL CHILLED,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/2831_0.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2132,ذبيحة غنم استرالي طازج,AUSTRALIAN LAMB WHOLE FRESH,46.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/2/5205.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
2133,لحم بقر كرتون سي,BEEF CARTON C,27.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/5160_1.jpg,الطازج,لحوم,Fresh & Bakery,Fresh Meat
