#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
2225,روبيان الكبير كبير 400جرام,ALKABEER PRAWNS LARGE 400G,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/12730.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2226,روبيان امريكانا للطبخ 500جرام,AMERICANA COOKING SHRIMPS 500G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/638770.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2227,سمك السنبلة اصابع 300 جرام,SUNBULAH FISH FINGER 300G,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/141355_0.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2228,سمك بليمز اصابع 20 حبة 510 جرام,PLYMS 20 FISH FINGERS 510G,18.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/145325_0.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2229,روبيان امريكانا للطبخ 1كيلو,AMERICANA COOKING SHRIMPS 1K,33.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/638780_0.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2230,روبيان سيبلو وسط 500جرام,SIBLOU COKD SHRMPS MEDIUM 500G,72.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1145330.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2231,سمك امريكانا هامور فيليه 300 جرام,AMERICANA HAMOUR F.FILLER 300G,15.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/638845_0.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2232,فيليه سمك الكبير بالخبز 330 جرام,ALKABEER FISH FILLETS 330G,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/5/750955_0.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2233,روبيان العريش كبير 400جرام,ALAREESH SHRIMPS LARGE 400G,30.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/11170.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2234,روبيان العريش جامبو مقلي 200جرام,ALAREESH JUMBO SHRIMPS 200G,8.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/135780.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2235,روبيان العريش ملكي 500جرام,ALAREESH COOKING SHRIMP 500G,13.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/152070.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2236,روبيان امريكانا وسط 400جرام,AMERICANA SHRIMPS MEDIUM 400G,31.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/638760.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
2237,روبيان الكبير صغير 400جرام,ALKABEER PRAWNS SMALL 400G,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/12730_2.jpg,المجمدات,أسماك وأطعمة بحرية,Frozen,Fish & Seafood
