#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
861,ذرة قودي حبة ذهبية علب 196 جرام,GOODY WHOLE KERNEL G.CORN 196G,3.42,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/286845_1.jpg,غذائية,معلبات,Grocery,Canned Foods
862,زيتون كوبوليفا اسود بلا نوى150 جرام,COOPOLIVA PITTED BLACK OLIVES 150G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/c/o/coopoliva-spanish-b_olives-2_0.png,غذائية,معلبات,Grocery,Canned Foods
863,ذرة العلالي حلوة مهروسة 425 جرام,ALALALI SWEET CORN CREAM 425G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/201288.jpg,غذائية,معلبات,Grocery,Canned Foods
864,تونة بيتي خفيف زيت دوارشمس 180جرام,BAITY FNCY LGHT MEAT TUNA 180G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/2242255.jpg,غذائية,معلبات,Grocery,Canned Foods
865,تونة بيتي خفيف زيت دوارشمس 100جرام,BAITY FNCY LGHT MEAT TUNA 100G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/2242255_0.jpg,غذائية,معلبات,Grocery,Canned Foods
866,زيتون حلواني اخضر بالزيت 650 جرام,HALWANI SLICED GREEN OLIVES 650G,25.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/_/6_slice.jpg,غذائية,معلبات,Grocery,Canned Foods
867,زيتون اليسا اخضر محشي 140 جرام,ALISA STUFFED GREEN OLIVES 140G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/12005_0.jpg,غذائية,معلبات,Grocery,Canned Foods
868,فول حدائق كاليفورنيا خلطة لبنانية 450 جرام,CALIFORNIA GARDEN FOUL LEBANESE 450G,5.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/28335_1.jpg,غذائية,معلبات,Grocery,Canned Foods
869,فول حدائق كاليفورنيا مع فلفل 450 جرام,CALIFORNIA GARDEN PEELED FOUL CHILI 450G,5.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/28365_1.jpg,غذائية,معلبات,Grocery,Canned Foods
870,فاصوليا قودي حمراء 425 جرام,GOODY RED KIDNEY BEANS 425G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/57905_1.jpg,غذائية,معلبات,Grocery,Canned Foods
871,تونة قودي ابيض 95جرام,GOODY WHITE MEAT TUNA 95G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/130355_0.jpg,غذائية,معلبات,Grocery,Canned Foods
872,فول حدائق كاليفورنيا خلطة مصرية 450 جرام,CALIFORNIA GARDEN FOUL EGYPT 450G,5.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/63185_1.jpg,غذائية,معلبات,Grocery,Canned Foods
873,فول لونا امريكي علب 400 جرام,LUNA FOUL VARIETY 400G,2.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/7/77185_0.jpg,غذائية,معلبات,Grocery,Canned Foods
874,فاصوليا لونا بيضاء 400 جرام,LUNA WHITE BEANS 400G,3.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/7/77335_0.jpg,غذائية,معلبات,Grocery,Canned Foods
875,زيتون اليسا اسود علب 100 جرام,ALISA BLACK OLIVES 100G,3.94,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/141415_1.jpg,غذائية,معلبات,Grocery,Canned Foods
876,زيتون كوبوليفا اسود علب 100جرام,COOPOLIVA BLACK OLIVES CAN 100G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/158585.jpg,غذائية,معلبات,Grocery,Canned Foods
877,تونة ريوماري خفيف 6حبات ×80 جرام,RIOMARE LIGHT TUNA OIL 6x80G,37.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/203621_1.jpg,غذائية,معلبات,Grocery,Canned Foods
878,حمص حدائق شتورة طحينة 180 جرام,CHTOURA GARDEN HOMMOS TAHINI 180G,2.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/206915_0.jpg,غذائية,معلبات,Grocery,Canned Foods
879,زيتون كوبوليفا اسود شرائح 114 جرام,COOPOLIVA SLICED B.OLIVES 114G,6.04,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1198055_1.jpg,غذائية,معلبات,Grocery,Canned Foods
880,حمص حدائق كاليفورنيا طحينة 220 جرام,C.GARDEN HOMMOS TAHINA 220G,2.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247075_0.jpg,غذائية,معلبات,Grocery,Canned Foods
881,حمص حدائق كاليفورنيا طحينة 400 جرام,CALIFORNIA GARDEN HOMMOS TAHINA 400G,4.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/247085_0.jpg,غذائية,معلبات,Grocery,Canned Foods
882,تونة قودي قليل الدسم بالماء 95جرام,GOODY TUNA LOW FAT WATER 95G,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/284255_0.jpg,غذائية,معلبات,Grocery,Canned Foods
883,تونة قودي قليل الدسم بالماء 195جرام,GOODY TUNA Low Fat WATER 195G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/284265_0.jpg,غذائية,معلبات,Grocery,Canned Foods
884,زيتون اليسا اسود بلا عجو 150 جرام,ALISA PITTED BLACK OLIVES 150G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/p/p/pplgn.jpg,غذائية,معلبات,Grocery,Canned Foods
885,تونة هالي خفيف 200جرام,haley tuna 200 G,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/8/486135_1.jpg,غذائية,معلبات,Grocery,Canned Foods
886,تونة هالي ابيض 200جرام,HALEY WHITE MEAT TUNA 200G,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/9/493545_0.jpg,غذائية,معلبات,Grocery,Canned Foods
887,بزاليا هالي خضراء علب 400 جرام,HALEY GREEN PEAS CAN 400G,1.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/2/528205_1.jpg,غذائية,معلبات,Grocery,Canned Foods
888,تونة قودي تندرينا ناعمة 195جرام,GOODY TENDERINA SOFT TUNA 195G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/2/529565.jpg,غذائية,معلبات,Grocery,Canned Foods
889,تونة قودي تندرينا ناعمة 80جرام,GOODY TENDERINA SOFT TUNA 80G,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/2/529575_0.jpg,غذائية,معلبات,Grocery,Canned Foods
890,زيتون كوبوليفا اخضر بلا نوى 75 جرام,COOPOLIVA PITTED G.OLIVES 75G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/5/552255_1.jpg,غذائية,معلبات,Grocery,Canned Foods
891,فاصوليا ليبز مطبوخة بصلصة 420 جرام,LIBBYS BEANS TOMASAUCE 420G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/575605_1.jpg,غذائية,معلبات,Grocery,Canned Foods
892,فول حدائق كاليفورنيا بالطحينة 450 جرام,CALIFORNIA GARDEN FOUL WITH TAHINA 450G,5.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/9/598925.jpg,غذائية,معلبات,Grocery,Canned Foods
893,تونة حدائق كاليفورنيا بالزيت 185جرام,CALIFORNIA GARDEN LIGHT TUNA OIL WKEY 185G,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/675765_0.jpg,غذائية,معلبات,Grocery,Canned Foods
894,حمص شتورة طحينة 380 جرام,CHTOURA HOMMOS TAHINI 380G,3.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/696785_1.jpg,غذائية,معلبات,Grocery,Canned Foods
895,حمص فرشلي حب زجاج 580 جرام,FRESHLY CHICK PEAS JAR 580G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/745155.jpg,غذائية,معلبات,Grocery,Canned Foods
896,تونة الوها خفيف 185جرام,ALOHA LIGHT MEAT TUNA 185G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/837555_0.jpg,غذائية,معلبات,Grocery,Canned Foods
897,ذرة فرشلي حلوة بالكريمة 410 جرام,FRESHLY CREAM STYLE CORN 410G,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/838445_1.jpg,غذائية,معلبات,Grocery,Canned Foods
898,ذرة العثيم حب كامل حلو علب340جرام,OTHAIM WHOLEKERNEL SWEET 340G,4.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/4/840725_1.jpg,غذائية,معلبات,Grocery,Canned Foods
899,مشروم العثيم قطع 400 جرام,OTHAIM MUSHROOM SLICE 400G,5.78,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/877925_1.jpg,غذائية,معلبات,Grocery,Canned Foods
900,فول لونا مدمس خلطة سعودية 400 جرام,LUNA FOUL MIX SAUDI RECIPE 400G,3.68,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/917085.jpg,غذائية,معلبات,Grocery,Canned Foods
901,طماطم كوينزى ايطالى مقشر 400 جرام,QUEEN'S WAY PEELED TOMATO 400G,2.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/985935_0.jpg,غذائية,معلبات,Grocery,Canned Foods
902,طماطم الطائي ايطالي مقشرة 400 جرام,ALTAIE PEELED TOMATO 400G,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/992425_1.jpg,غذائية,معلبات,Grocery,Canned Foods
903,تونة الوها خفيف 100 جرام,ALOHA LIGHT MEAT TUNA 100G,3.42,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1128475.jpg,غذائية,معلبات,Grocery,Canned Foods
904,تونة جنتل ابيض فاخر 95 جرام,GENTEL SOLID WHITE TUNA 95G,3.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_3667.png,غذائية,معلبات,Grocery,Canned Foods
905,سردين ميلو بارد 125 جرام,MILO SARDINES REGULAR 125G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/82995_0.jpg,غذائية,معلبات,Grocery,Canned Foods
906,ذرة فرشلي بلا ملح وبلا سكر 340 جرام,FRESHLY CRN KRNL NO SUGAR 340G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/f/r/freshly_wholecornkernelnosugarnosalt340g.jpg,غذائية,معلبات,Grocery,Canned Foods
907,ذرة العملاق الاخضر 432 جرام,GREENGIANT GOLDEN CORN 432G,5.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/58715_1.jpg,غذائية,معلبات,Grocery,Canned Foods
908,ذرة العملاق الاخضر حلو 198 جرام,GREENGIANT NIBLETS S.CORN 198G,4.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/9/291665.jpg,غذائية,معلبات,Grocery,Canned Foods
909,ذرة ليبز حب كامل علب 340 جرام,LIBBYS WHOLE KERNEL CORN 340G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/74755_0.jpg,غذائية,معلبات,Grocery,Canned Foods
910,خضار مشكل العلالي 400 جرام,ALALALI MIXED VEGETABLES 400G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/20120126_mixedveg-ar-new.jpg,غذائية,معلبات,Grocery,Canned Foods
911,بزاليا العلالي مع جزر 400 جرام,ALALALI PEAS&CARROTS 400G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10625_0.jpg,غذائية,معلبات,Grocery,Canned Foods
912,خضار مشكل ليبز 425 جرام,LIBBYS MIXED VEGETABLES 425G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/575705.jpg,غذائية,معلبات,Grocery,Canned Foods
913,مشروم هالي شرائح 400 جرام,HALEY MUSHROOM STEMS 400G,5.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/508185.jpg,غذائية,معلبات,Grocery,Canned Foods
914,بزاليا لونا خضراء علب 400 جرام,LUNA GREEN PEAS 400G,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/7/77245_1.jpg,غذائية,معلبات,Grocery,Canned Foods
