#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
0,خلطة كنور للبروست 80جرام,KNORR COATING MIX 80G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/3/437550_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
1,خلطة كنور بهارات للكفتة 80جرام,MAGGI STOCK CHICKEN 20G,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1143950_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
2,تين مجفف تاتكو 200جرام,TATCO DRIED FIGS 200G,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1179475.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
3,دقيق ابيض 2كيلو,PATENT FLOUR WHITE 2K,3.68,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/4/94795_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
4,دقيق كويتي 1كيلو,KUWAIT FLOUR 1K,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/351515_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
5,دقيق ابيض فاخر 1كيلو,PATENT FLOUR WHITE 1K,2.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/5/954765_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
6,دقيق ابيض فاخر 10كيلو,FINE FLOUR WHITE 10K,13.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/w/w/wwpastryflr24_sd.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
7,دقيق البيكر حبة قمح الكاملة 6كيلو,ALBAKER CHAKKI FRESH ATTE 6KG,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/1/3171005.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
8,دقيق بر اسمر 2كيلو,WHOLE WHEAT FLOUR DARK 2K,3.10,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/51ovqy0xwxl._sl500_aa300__3.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
9,دقيق بر فاخر 10كيلو,WHEAT FLOUR PREMIUM 10K,13.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/364770.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
10,حليب نستله مركز سائل 395جرام,NESTLE CONDENSED MILK 395G,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/74595_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
11,حليب نستله مركز سائل 90جرام,NESTLE CONDENSED MILK 90G,3.68,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/74615.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
12,حليب بوني مركز محلى 397جرام,BONNY CONDENSED MILK 397G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/8/184161_12254.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
13,حليب لونا مكثف محلى 395جرام,LUNA CONDENSED MILK 395G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/b/i/big_luna-sweetened-condensed-milk.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
14,حليب فلور مكثف محلى 397جرام,VELOR CONDENSED MILK 395G,6.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/983645_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
15,زبيب مجدي ايراني 250 جرام,MAJDI IRANIAN RAISINS 250G,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/9/499000_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
16,خليط كيك العلالي ليمون 524 جرام,ALALALI LEMON CAKE MIX 524G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10090_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
17,خليط كيك العلالي برتقال 524 جرام,ALALALI ORANGE CAKE MIX 524G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10425_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
18,خليط كيك العلالي باوند 481 جرام,ALALALI POUND CAKE MIX 481G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10685.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
19,خليط كيك العلالي شوكولاته 524 جرام,ALALALI CHOCOLATE CAKE MIX 524G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/20035.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
20,خليط كيك العلالي فراولة 524 جرام,ALALALI STRAWBERRY CAKE MIX 524G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10795_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
21,خليط كيك العلالي ابيض 524 جرام,ALALALI WHITE CAKE MIX 524G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10960_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
22,خليط كيك العلالي اصفر 524 جرام,ALALALI YELLOW CAKE MIX 524G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/10995.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
23,خليط بيتي كروكر شوكولاته 500 جرام,BETTY CROCKER CAKE MIX CHOCO 500G,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/20035_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
24,خليط بتي كروكر شوكولا بيضاء500 جرام,BETTY CROCKER MOIST CHOCO 500G,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/20185_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
25,شيرة قودي بانكيك سائل710مل,GOODY PANCAKE SYRUP 710ML,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/65730_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
26,خليط بسبوسة العلالي 500 جرام,ALALALI BASBOUSAH MIX 500G,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/134290_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
27,باكنج بودر فوستر كلاركس 110جرام,FOSTER CLARKS BAKING POWDER 110G,3.42,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/136155_1.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
28,فتات خبز هرفي 500 جرام,HERFY BREAD CRUMBS 500G,6.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/139315_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
29,باكنج بودر فوستر كلاركس 450جرام,FOSTER CLARKS BAKING POWDER 450G,11.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/140865_1.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
30,نشاء العلالي علب 450 جرام,ALALALI CORN FLOUR 450G,8.14,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/8/280700_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
31,خليط العلالي بانكيك 454 جرام,ALALALI PANCAKE MIX 454G,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/2/327945_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
32,خليط كيك هالي فانيليا 500 جرام,HALEY CAKE MIX VANILLA 500G,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/506175_1.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
33,خليط كيك هالي فراولة 500 جرام,HALEY CAKE MIX STRAWBERY 500G,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/0/506185_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
34,نشاء هالي ذرة 400 جرام,HALEY CORN FLOUR 400G,2.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/578881_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
35,خليط بتي كروكر بكريمةفانيلا600 جرام,BETTY CROCKER CAKE & VANILA 600G,12.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/4/844740_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
36,خليط كيك البراوني شوكولاتة 500 جرام,BETTY CROCKER CHOCO CHUNK 500G,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/7/873370_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
37,خليط كيك بلسبري كاكاو 485 جرام,PILLSBURY SUPREME COCOA 485G,9.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1106735.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
38,خليط كيك زدني برتقال 524 جرام,ZIDNEE CAKE MIX ORANGE 524G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1177535_1.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
39,خليط كيك زدني ابيض 524ج,ZIDNEE CAKE MIX WHITE 524G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1177515_1.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
40,خليط كيك زدني شوكولاتة 524ج,ZIDNEE CAKE MIX CHOCOLATE 524G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1177505_1.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
41,جلي زدني فراولة 85ج,ZIDNEE GELATINE STRAWBERRY 85G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157015.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
42,جلي زدني مانجو 85ج,ZIDNEE GELATINE DESSERT MANGO 85G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1156985.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
43,جلي زدني برتقال 85ج,ZIDNEE GELATINE DESSERT ORANGE 85G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1156975.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
44,جلي زدني توت 85ج,ZIDNEE GELATIN DESSERT RASPBERRY 85G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157025.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
45,كاسترد زدني بودرة 400ج,ZIDNEE CUSTARD POWDER 400G,5.78,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1156945.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
46,جلي زدني كرز 85ج,ZIDNEE GELATINE DES.CHERRY 85G,1.58,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1157045.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
47,لقمة القاضي الرياض 500 جرام,RIYADH FOOD DUMPLING MIX 500G,4.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/132775.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
48,نشاء فوستر كلاركس 200 جرام,FOSTER CLARKS CORN FLOUR 200G,2.63,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/135820_0.jpg,غذائية,تصنيع الحلويات والمخبوزات,Grocery,Home Baking
