#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1532,سردين صلصة طماطم حار مكاتي 155جرام,MAKATI SARDINES HOT 155G,2.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/607515.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1533,حمص عزيمكو اسود 600 جرام,AZIMCO CHICKPEAS BLACK 600G,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/927155_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1534,عدس احمر عزيمكو هندي 600 جرام,AZIMCO RED LENTILS INDIAN 600G,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/927525_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1535,سميد عزيمكو خشن 600 جرام,AZIMCO SEMOLINA 600G,5.78,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/927050_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1536,عدس احمر عزيمكو حب 600 جرام,AZIMCO RED LENTILS WHOLE 600G,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/9/490705.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1537,جوز هند سانتان حليب بودرة 300 جرام,SANTAN COCONUT M.POWDER 300G,11.82,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/135465_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1538,حليب سانتان جوز هند بودرة 150 جرام,SANTAN COCONUT PWDR MILK 150G,6.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/646995_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1539,رقائق روبيان الفية كبير 400 جرام,ALFIAH SHRIMP CRACKRS BIG 400G,9.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/647175_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1540,كمون مهران مطحون 200 جرام,MEHRAN CUMMIN POWDER 200G,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_0719_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1541,بهار مهران مشكل مطحون 400 جرام,MEHRAN CURRY POWDER 400G,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/0/3091135.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1542,فلفل مهران احمر مطحون 400 جرام,MEHRAN R.CHILLI POWDER 400G,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_0721_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1543,كركم مهران مطحون 200 جرام,MEHRAN TURMERIC POWDER 200G,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_3718.png,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1544,بهارات مهران مخلل اللحم50 جرام,MEHRAN ACHAR GOSHT 50G,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/633152001344.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1545,رقائق ثوم الفية ابيض 250 جرام,ALFIAH CRACKERS GARLIC 250G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/647140_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1546,رقائق روبيان الفية كسيك 400 جرام,ALFIAH SHRIMP CRACKERS 400G,9.72,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/647160.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1547,مسحوق كاري شان 400جرام,SHAN CURRY POWDER 400G,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925535.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1548,بهارات مشكلة شان برياني 50جرام,SHAN BIRYANI MASALA 50G,4.99,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925595.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1549,عدس اصفر عزيمكو 600 جرام,AZIMCO YELLOW LENTILS 600G,8.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/927085_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1550,شوربة باشاك عدس 70جرام,BASAK SOUP LENTIL 70G,2.37,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/924245_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1551,شعيرية مكاتي الارز 454 جرام,MAKATI VERMICELLI RICE 454G,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/m/a/makati_ricevermicelli454_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1552,سردين صلصة طماطم مكاتي 155جرام,MAKATI SARDINES 155G,2.89,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/607525_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1553,جمبري مكاتي مقلي مسوته 340 جرام,MAKATI SAUTEED SHRMP FRY READY 340G,8.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/918735_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1554,صلصلة سمك مكاتي باتيسمنسي750مل,MAKATI SAUCE PATISMANSI 750ML,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/918725.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1555,صلصة صويا مكاتي فول 750مل,MAKATI SAUCE SOY 750ML,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/918705_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1556,معجون زنجبيل شان 310 جرام,SHAN GARLIC&GINGER PASTE 310G,8.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925745_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1557,لوبيا سوداء مكاتي مملحة 227 جرام,MAKATI SALTED BLACK BEANS 227G,5.78,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/5/953925_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1558,صلصة صويا مكاتي كلاسيك 500مل,MAKATI SAUCE SOY CLASSIC 500ML,5.78,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/918685_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1559,رقائق ثوم الفية ملون 250 جرام,ALFIAH GARLIC CRACKER CLR 250G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/647155.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1560,صلصة صويا مكاتي تويو منسي750مل,MAKATI SAUCE TOYOMNS SOY 750ML,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/918715_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1561,صلصلة مكاتي متعددة الاستعمالات 310ج جرام,MAKATI ALL_PURPOSE SAUCE 310G,5.52,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/966915.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1562,شطة اندوفود مبونغ حاره 140 مل,INDOFOOD LAMPUNG CHILI 140ML,3.42,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/9/290565_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1563,صلصة اندوفود حارة 340مل,INDOFOOD HOT CHILI 340ML,6.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/9/69645_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1564,صلصة صويا كيكومان 1لتر,KIKKOMAN SOY SAUCE 1L,25.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1001065.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1565,شعيرية مكاتي فاصوليا خضراء227 جرام,MAKATI NOODLES SOTANGHON 227G,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/918525_1.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1566,عيدان الارز مكاتي 227 جرام,MAKATI RICE STICK TSINA 227G,4.73,http://www.othaimmarkets.com/skin/frontend/default/othaimshop/images/catalog/product/placeholder/image.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1567,اعواد صينية مكاتي نودلز 200 جرام,MAKATI CHINESE NOODLES 200G,5.20,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/607395_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
1568,بهارات مشكلة شان للسمك 50جرام,SHAN FISH SEASONING 50G,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/925635_0.jpg,غذائية,مأكولات آسيوية,Grocery,Oriental Food
