#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
435,ارز باب الهند بنجابي 40 كيلو,BAB ALHIND PUNJABI RICE 40K,322.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/2264140.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
436,ارز أبو كاس مزة بسمتي 5 كيلو,Abu Kass SELLA BASMATI RICE 5K,41.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/140915_0.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
437,ارز الشعلان بسمتي مزة 20كيلو,ALSHALAN BASMATI MAZA RICE 20K,133.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/2/429095.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
438,ارز هالي كالروز مصري 5كيلو,HALEY CALROSE RICE 5KG,23.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1179485.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
439,ارز جرين فارمز كرنل ابيض 10كيلو,GREEN FARMS KERNL WHTE RIC 10K,69.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/965395_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
440,ارز جرين فارمز كرنل ابيض 5كيلو,GREEN FARMS KERNEL WHTE RIC 5K,35.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1107005.png,غذائية,الأرز والسكر,Grocery,Rice & Sugar
441,ارز ملك الارز بسمتي مزة 10كيلو,RICE KING MAZZA RICE 10KG,70.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1184165_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
442,ارز هالي سيلا بسمتي 10كيلو,HALEY SELLA BASMATI RICE 10K,49.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/4/447205_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
443,ارز هالي برمل 40 كيلو,HALEY PERMAL RICE 40KG,104.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1142505_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
444,ارز هالي برمل مزة 10ك,OTHAIM SELLA BASMATI RICE 5K,26.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/8/188625_2.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
445,ارز المضياف عنبر باكستاني 5ك,ALMUDYAF BASMATI RICE 5KG,34.13,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/136755.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
446,ارز زاد الوطن مزة 40كيلو,ZAD ALWATAN MAZZA RICE 40K,159.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1144895_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
447,ارز الشعلان مزة بسمتي 5 كيلو,ALSHALAN MAZA RICE 5KG,34.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/s/h/shalanbasmati10kg.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
448,ارز العائلة بسمتي ابيض 5 كيلو,ALAILA WHITE BASMATI RICE 5K,54.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/3/2395895.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
449,ارز العائلة بسمتي ابيض 10 كيلو,ALAILA WHITE BASMATI RICE 10K,89.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/1/818210_0.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
450,ارز الشعلان مزة بسمتي 10ك,ALSHALAN Basmati Maza Rice 10K,68.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/6/160185_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
451,ارز الوسام بسمتي 5 كيلو,ALWESSAM BASMATI RICE 5K,34.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1063975_0.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
452,ارز الوسام بسمتي 10 كيلو,ALWESSAM BASMATI RICE 10K,67.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1063975.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
453,ارز زاد الوطن مزة 10 كيلو,ZAD ALWATAN MAZZA RICE 10K,40.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/5/955760_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
454,ارز بوندي مزة هندي 40 كيلو,BUNDE INDIAN BASMATI RICE 40KG,299.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/886195_0.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
455,ارز المضياف عنبر باكستاني 10 كيلو,ALMUDYAF BASMATI RICE 10K,62.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/a/l/almudyaf.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
456,ارز ابو بنتين 10 كيلو,TWO GIRL LONGRAIN RICE 10KG,47.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/132585.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
457,ارز مالجروسا تايلندي 10 كيلو,MILAGROSA AAA THAILAND RICE10K,66.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/746935.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
458,سكر النحلة قوالب 1كيلو,BEE BRAND CUBE SUGAR 1KG,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/3/23665_0.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
459,سكر النحلة اشكال 500جرام,BEE SUGAR SHAPES 500G,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/7/274385_0.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
460,سكر الاسرة خشن 5 كيلو,ALOSRA COARSE SUGAR 5K,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/6/465125_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
461,سكر خشن سعودي كيس 50كيلو,SUGAR COARSE SAUDI 50K,141.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/b/b/bbb_1.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
462,سكر اسره خشن 10 كيلو,ALOSRA SUGAR COARSE 10K,33.08,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/4/14235.jpg,غذائية,الأرز والسكر,Grocery,Rice & Sugar
