#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
1255,شطة رنا حارة 88مل,RANA HOT SAUCE 88ML,1.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/100355-0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1256,شطة تباسكو الهبنيرو 60مل,TABASCO HABANERO SAUCE 60ML,15.23,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_3598.png,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1257,شطة رنا جالون 4.5 كيلو,RANA HOT SAUCE 4.5KG,22.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/367870_0_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1258,شطة رنا حارة 474مل,RANA HOT SAUCE 474ML,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/8/48535_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1259,شطة بيدر حارة جالون 3 كيلو,BAIDAR HOT SAUCE 3KG,16.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/412355.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1260,خل عنب فرشلي بالسميك 500مل,FRESHLY VIN.BALSAMC GRPE 500ML,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/919585.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1261,خردل فرشلي حار ضغاط 340 جرام,FRESHLY MUSTARD SPICY 340G,7.62,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/3/737595.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1262,خل عنب فرشلي بالسميك 250مل,FRESHLY VIN.BALSAMC GRPE 250ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/919575.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1263,خل رنا صناعي 1جالون,RANA ARTIFICIAL VINEGAR 1GAL,12.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/9/897155.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1264,مايونيز مازولا فلفل حار 340مل,MAZOLA MAYONNAISE CHILI 340ML,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/666620_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1265,صلصة طماطم لونا علب 70 جرام,LUNA TOMATO PASTE 70G,0.79,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/7/77315_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1266,كاتشب طماطم العثيم 340 جرام,OTHAIM TOMATO KETCHUP 340G,4.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/3/836465_1.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1267,طحينة التاج سائلة 1 كيلو,ALTAJ TAHINA LIQUID 1K,25.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/4/34.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1268,طحينة حلواني سائلة 500 جرام,HALWANI TAHINA LIQUID 500G,18.38,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/2/62115_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1269,خل قودي تفاح 473مل,GOODY CIDER VINEGAR 473ML,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_3597.png,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1270,صلصة طماطم لونا علب 400 جرام,LUNA TOMATO PASTE 400G,3.42,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/7/77295_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1271,طحينة شبرا سايلة 500 جرام,SHOPRA TAHINA LIQUID 500G,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/110445_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1272,طحينة طعمة سائلة 500 جرام,TEMA TAHINA LIQUID 500G,18.38,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/119525_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1273,صلصة صوص شوب رايت بيتزا14اونز,SHOPRITE PIZZA SAUCE NAT.397G,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/9/197245_1.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1274,شطة بيدر حارة 473مل,BAIDAR HOT SAUCE 473ML,4.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/1/412975w.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1275,مايونيز قودي بالكاتشب 326مل,GOODY MAYONNAISE KETCHUP 326ML,12.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/547495_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1276,طحينة هالي سائلة 1 كيلو,HALEY TAHINA LIQUID 1K,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/4/549255_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1277,خل الرمحين تفاح 500مل,ALROMHAIN APPLE VINEGAR 500ML,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/3/636205.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1278,مايونيز هالي 946مل,HALEY MAYONNAISE 946ML,9.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/642575.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1279,خردل فرشلي ضغاط 454 جرام,FRESHLY MUSTARD 454G,7.30,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/2/727885_0.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1280,صلصة فرشلي فرنسية 237مل,FRESHLY FRNCH SALAD DRSNG 237M,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/4/743485.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
1281,صلصة باربكيو فرشلي عسل 510 جرام,FRESHLY BBQ SAUCE WHONEY 510G,9.98,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/7813150.jpg,غذائية,صلصات ومعجون الطماطم,Grocery,Sauces & Tomato Paste
