#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4259,بلسم فيراندهاندسم بعدالحلاقة 100مل,FAIR&HANDSOME AFTR SHAVE 100ML,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1112465.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4260,رغوة حلاقة اركو كوول 200مل,ARKO COOL SHAVE BALM 150ML,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/820475.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4261,رغوة حلاقة اركو اكوا 200مل,ARKO GEL REGULAR 200ML,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/820525.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4262,جل حلاقة اركو ادفانتور 200مل,ARKO GEL EXTRA SENSITIVE 200ML,19.69,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915805.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4263,جل حلاقة اركو كومفورت 200مل,ARKO GEL COMFORT MEN 200ML,19.69,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915815_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4264,جل حلاقةاركو اكسترا سنستيف200مل,ARKO GEL ADVENTURE MEN 200ML,19.69,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915825_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4265,جل حلاقة اركو عادي 200مل,ARKO AQUA SHAVING FOAM 200ML,19.69,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/1/915835_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4266,بلسم اركو كوول بعدالحلاقة 150مل,ARKO SHAVING FOAM COOL 200ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/820415_0_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4267,بلسم اركو ادفانتور للحلاقة 100مل,ARKO ADVENTURE SHAVE BALM 150M,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/820435_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4268,كلونيا اركو اكشن بعد حلاقة250مل,ARKO SHAVE COLONE ACTION 250ML,22.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/923945_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4269,كلونيا اركوكمفورت بعد الحلاقة 250مل,ARKO REGULAR SHAVIN CREAM 100G,22.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/923965_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4270,كلونيا اركو ادفنتور حلاقة250مل,NIVEA MEN S.GEL SENSITIV 200ML,22.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/923975_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4271,كلونيا اركو اكوا بعد حلاقة250مل,ARKO AQUA SHAVE BALM 150ML,22.32,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/2/923985_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4272,بلسم اركو حساس بعد الحلاقة150مل,ARKO COMFORT SHAVE BALM 150ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/937965_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4273,بلسم اركو كمفورت بعد الحلاقة 150مل,ARKO SENSITIVE SHAVING BALM 150ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/937975_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4274,بلسم اركو ادفانتور للحلاقة 150مل,ARKO SHAVE COLONE AQUA 250ML,14.65,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/820425_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4275,جل حلاقة نيفيا حساس 200مل,ARKO SHAVING COLOGNE ADVENTURE 250ML,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/249525_1.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4276,كريم حلاقة اركو عادي 100جرام,ARKO SHAVING COLOGNE COMFORT 250M,5.78,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/820385_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4277,رغوة حلاقة نيفيا جل منعش 200مل,NIVEA MEN SHAVING GEL REFRESH 200ML,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/224745_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4278,ماكينة حلاقة فيوجن باور,GILLETTE RAZOR FUSION POWER,70.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/794665_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4279,ماكينة حلاقة فيوجن عادي,GILLETTE BLADE FUSION 8'S,56.18,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/794625_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4280,امواس جيليت ماك3 8حبه,GILLETTE BLADE FUSION 4'S,86.05,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/244965_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4281,امواس جيليت ماك 3 4حبه,GILLETTE BLADE FUSION 2'S,55.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/244975_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4282,امواس جيليت ماك3 تربو 4حبه,GILLETTE MACH3 BLADES 2'S,59.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/512155_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4283,امواس جيليت فينوس نسائية 4حبه,GILLETTE VENUS FOR WOMEN 4'S,57.70,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/1/512185_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4284,امواس حلاقة جيليت ماك3 2حبه,GILLETTE MACH3 TURBO 4'S,25.47,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/5/655795_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
4285,امواس فيوجن 2حبه,GILLETTE MACH3 BLADE 4'S,46.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/9/794635_0.jpg,الصحة والجمال,مستلزمات حلاقة,Health & Beauty,Shaving Needs
