#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
3350,مزيل شعر شمسا للبشرةالجافة250جرام,SHAMSA H.REM.CRM DRY SKIN 250G,17.33,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/967565_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3351,مزيل مكياج غارنييه جاف 200مل,GARNIER MAKE UP RMVR DRY 200ML,15.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/8/888725_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3352,ماكنيةبرسونا كمفورت تاتش 155حبة,PERSONNA COMPO.TOUCH 155'S,29.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/967955_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3353,ماكينة حلاقة بيرسونا بودي 3ح,PERSONNA BODY RAZOR 3'S,4.73,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1105635_0_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3354,ماكينة حلاقة جيليت فينوس نسائية 2حبه,GILLETTE VENUS RIVIERA WOMEN .2'S,29.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/988405_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3355,ماكينة حلاقه بيرسونا لتخفيف حاجب 3حبه,PERSONNA EYEBROW SHAPER 3'S,11.03,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1105655_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3356,ماكنية برسونا سبيد سبورت 21ح,PERSONNA SPEED3 SPORT 21'S,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/967935_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3357,ماكنية برسونا ليدي كمفورت 21ح,PERSONNA LADY COMPORT 21'S,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/6/967905_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3358,قطن كوتونيف تجميل 80حبه,COTONEVE C.F.MAKEUP #297 80'S,8.93,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/36515_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3359,قطن كونتنيف كور ملونة 100حبه,COTONEVE BALL COLOR 100'S 1109,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/360851_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3360,مزيل مكياج قطن ملون 100حبه,SEPTONA 100 COTTON WOOL BALLS,9.19,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/363470.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3361,قطن سيبتونا مزيل مكياج 80حبه,SEPTONA COTTON MAKE_UP 80'S,9.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/642535_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3362,اعواد اذن داندل قطن 250حبه,DANDLA ROUND COTTON BUDS 250'S,3.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/939225_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3363,كرات جونسون قطنية 50حبه,JOHNSONS PURE COTTON BALL 50'S,15.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/8/68140.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3364,مزيل مكياج قطن عادي 100حبه,SEPTONA COTTON TOUCH 100G,6.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/363480.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3365,مزيل مكياج قطن مدور 80حبه,SEPTONA 80 COTTON TOUCH,9.19,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/6/363490.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3366,قطن سيبتونا رول 200حبه,SEPTONA COTTON WOOL ROLL 200G,10.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/584825.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3367,مزيل شعر فيت حساس 100مل,VEET H.REMOVER SENSITIVE 100ML,19.90,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/8/189375.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3368,قطن جونسون اقراص للمكياج 80حبه,JOHNSONS COTTON MAKE_UP 80PADS,11.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/8/68105_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3369,مزيل شعر نير بخاخ ورد 200مل,NAIR SPRAY HAIR R.ROSE 200ML,20.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/2/226185_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3370,اعواد اذن جونسون قطن 100حبه,JOHNSONS COTTON BUDS 100'S,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/5/45689.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3371,اعواد اذن جونسون قطن 200حبه,JOHNSONS COTTON BUDS 200'S,27.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/4/5/45690.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3372,قطن كوتونيف فوفولي 40جرام,COTONEVE FUFFOLI BUDS 40G,8.35,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/100560.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3373,اعواد اذن قطار العائلة 200 حبه,FAMILY TRAIN 200 C.BUDS 94,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/242335_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3374,اعواد اذن قطار العائلة 200حبه,FAMILY TRAIN 200 C.BUDS 55,5.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/242345_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3375,اعواد اذن قطار العائلة 100حبه,FAMILY TRAIN 100 C.BUDS 44,3.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/4/242355_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3376,اعواد اذن سيبتونا للاطفال 56حبه,SEPTONA BABY COTTON 56'S,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/4/642521.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3377,اعواد اذن سانيتا قطن 200حبه,SANITA SQUARE COTON BUDS 200'S,7.88,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/672520_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
3378,قطن سيبتونا مزيل مكياج 300 حبه,SEPTONA LADY CARE C.BUDS 300'S,9.72,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/0/1098465_0.jpg,الصحة والجمال,عناية المرأة,Health & Beauty,Woman Care
