#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4944,ملين ملابس كمفورت ازرق 4 لتر,COMFORT BLUE 4L,32.50,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/0/605985_1.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4945,نشاء كوي مريتو اصلي 400مل,MERITO ORIGINAL SPRAY 400ML,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/82790_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4946,ملين ملابس داوني الاناقة 1.5ل,DOWNY CONCEN.FEEL ELEGANT 1.5L,27.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1176455.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4947,ملين ملابس داوني حديقةالاحلام1.5ل,DOWNY CONCEN.GARDEN DREAM 1.5L,27.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1176435.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4948,ملين ملابس كمفورت وردي 3لتر,COMFORT PINK 3L,27.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/2/0/209465.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4949,ملين ملابس داوني رومانسي 1.5لتر,DOWNY CONCE.FEEL ROMANTIC 1.5L,27.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1176445.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4950,ملين كمفورت مركز ياسمين 1.5لتر,COMFORT E.JASMIN&CEDARWOD 1.5L,27.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/7/975275.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4951,نشاء كوي مريتو معطر 500مل,MERITO F.SCENT S.STARCH 500ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/82765_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4952,ملين ملابس كمفورت ازرق 1 لتر,COMFORT BLUE 1L,10.45,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/35385_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4953,ملين ملابس كمفورت ازرق 2 لتر,COMFORT BLUE 2L,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/35395_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4954,ملين ملابس كمفورت وردي 2 لتر,COMFORT PINK 2L,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/3/5/35425.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4955,ملين ملابس كمفورت ازرق 3 لتر,COMFORT BLUE 3L,27.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/5/150355_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4956,ملين داوني مركزاحساس فخامة 1لتر,DOWNY FEEL LUXURIOUS INTENS.1L,19.43,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1137515.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4957,ملين ملابس دواني الحنون 1.5لتر,DOWNY CONCENTRATED GENTLE 1.5L,27.83,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1176465.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4958,مزيل شحنات فضفاض 75مل,FIDFAD ANTI_STATIC 75ML,6.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1178705.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4959,نشاء كوي مريتو اصلي 500مل,MERITO ORIGINAL SPRAY 500ML,18.85,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/82750.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4960,ملين داوني مركز الحنون 1 لتر,DOWNY GENTLE BABIES INTENS.1L,19.43,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1137520.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4961,ملين ملابس ركس وردي 2 لتر,REX FABRIC SOFTNER PINK 2L,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/618815_0_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4962,ملين ملابس ركس ازرق 2 لتر,REX FABRIC SOFTNER BLUE 2L,5.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/1/618825_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4963,ملين ملابس شير ازرق 2 لتر,SHEAR FABRIC SFTNR C.STREAM 2L,6.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/673475_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4964,ملين ملابس شير وردي 2 لتر,SHEAR FABRIC SOFTENER ROSE 2L,6.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/673485_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4965,ملين كمفورت عودارز&ياسمين750مل,COMFORT E.JASMIN&CEDARWOD 750M,15.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/780575_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4966,ملين كمفورت اوركيد ومسك 750مل,COMFORT ESSNCE ORCHD&MASK 750M,15.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/780585_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4967,ملين داوني ستاي فريش 2 لتر,DOWNY STAY FRESH 2L,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/781815_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4968,ملين داوني ستاي فريش 3 لتر,DOWNY STAY FRESH 3L,25.15,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/781825_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4969,ملين داوني مركز نسيم الوادي 1 لتر,DOWNY CONCENTRTED VALEY DEW 1L,19.43,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/930105_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4970,ملين داوني مركز نواعم 1 لتر,DOWNY CONCNTRTD NTRL EXTRCT 1L,19.43,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/930125_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4971,ملين داوني مركز عبق الزهور 1 لتر,DOWNY CONCENTRTD FLORL BRZE 1L,19.43,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/3/930145_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4972,ملين كمفورت مركزاوركيد&مسك1.5لتر,COMFORT ESSNCE ORCHD&MUSK 1.5L,27.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/7/975285_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4973,ملين داونى مركز احساس الاناقة 1 لتر,DOWNY CONCENTRTD FEEL ELGNT 1L,19.43,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/8/982425_0.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4974,ملين كمفورت خزامة و ماجنوليا 750 مل,COMFORT E.LAVNDR&MAGNOLIA 750M,15.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/7/8/780590.jpg,عناية المنزل,عناية الملابس,Home Care,Clothes Care
4975,ملين كمفورت مركز مسك 1.5ل20%,COMFORT E.ORCHID&MUSK 1.5L 20%,19.25,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/1/1143095-01.png,عناية المنزل,عناية الملابس,Home Care,Clothes Care
