#,Name,Name_en,Price,Image_url,Catagory,Subcatagory,Catagory_en,Subcatagory_en
4795,منظف حمام 101 عادي 1 لتر,101 TOILET CLEANER REGULAR 1L,9.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/7/5705_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4796,معطرح دبليوسي صنوبراخضرمنعش 4حبه,WC NET PINE GREEN FRESH 4'S,18.12,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/134901.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4797,منظف حمام هاربيك اصلي 500مل,HARPIC TOILET C.ORIGNAL 500ML,12.55,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/137445_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4798,معطر حمام دبليو سي بلو ووتر 2×45جرام,WC NET BLUE WATER 2x45G,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/138165_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4799,منظف حمام هاربيك باور بلس 500 مل,HARPIC POWER PLUS T.CLNR 500ML,14.18,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/7/673325_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4800,منظف مرحاض داك 750مل,DAC TOILET CLEANER 750ML,13.13,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/2/821795_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4801,منظف مرحاض كلوركس عادي 709مل,CLOROX TOILET CLEANER 709ML,14.18,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/8/6/864955.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4802,منظف حمام هاربيك منعش 750مل,HARPIC TOILT CLNRS FRESH 750ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/994045_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4803,منظف حمام هاربيك الاصلي 750مل,HARPIC TOILT CLNRS ORGNL 750ML,17.80,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/9/9/994055_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4804,منظف حمام دبليو سي فريش اوشن750مل,WC NET OCEAN FRESH GEL 750ML,14.18,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/3/138150.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4805,معطر حمام دبليوسي بلو اكشن 4حبه,WC NET BLUE ACTION 4BLOCKS,18.12,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/5/8/582780.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4806,مسلك مجاري داك سائل 1 لتر,DAC DRAIN OPENER LIQUID 1L,13.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/i/m/img_3732.png,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4807,مسلك مجاري داك حبوب 500 جرام,DAC DRAIN OPENER CRYSTAL 500G,12.00,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/66255_1.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4808,مسلك مجاري داك حبوب 1 كجم,DAC DRAIN OPENER CRYSTAL 1KG,18.95,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/6/6/66375.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4809,مسلك مجاري يو دو بودرة 500 جرام,U_DO DRAIN OPENER POWDER 500G,9.40,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/122285_1.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4810,مسلك مجاري يو دو بودرة 1000 جرام,U_DO DRAIN OPENER POWDER1000G,16.75,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/122275_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
4811,مسلك مجاري يو دو سائل 1000مل,U_DO LIQUID DRAIN 1000ML,13.60,http://www.othaimmarkets.com/media/catalog/product/cache/4/image/720x680/9df78eab33525d08d6e5fb8d27136e95/1/2/122285_0.jpg,عناية المنزل,مطهرات وملمعات ومعطرات,Home Care,Disinfectant
